# Delay[ns]	Correlation 	
-150	0.999771
-149.995	0.999772
-149.99	0.999771
-149.985	0.999763
-149.98	0.999759
-149.975	0.999761
-149.97	0.999775
-149.965	0.999801
-149.96	0.999829
-149.955	0.999855
-149.95	0.999885
-149.945	0.999907
-149.94	0.99994
-149.935	0.999986
-149.93	1.00003
-149.925	1.00005
-149.92	1.00008
-149.915	1.00009
-149.91	1.0001
-149.905	1.00011
-149.9	1.00013
-149.895	1.00014
-149.89	1.00014
-149.885	1.00016
-149.88	1.00016
-149.875	1.00015
-149.87	1.00015
-149.865	1.00013
-149.86	1.00011
-149.855	1.00008
-149.85	1.00004
-149.845	1.00001
-149.84	0.999986
-149.835	0.999957
-149.83	0.999922
-149.825	0.99991
-149.82	0.999915
-149.815	0.999925
-149.81	0.999943
-149.805	0.999964
-149.8	0.999979
-149.795	1
-149.79	1.00003
-149.785	1.00006
-149.78	1.00008
-149.775	1.0001
-149.77	1.00012
-149.765	1.00013
-149.76	1.00012
-149.755	1.00011
-149.75	1.0001
-149.745	1.00009
-149.74	1.00009
-149.735	1.00008
-149.73	1.00008
-149.725	1.00007
-149.72	1.00005
-149.715	1.00003
-149.71	1.00001
-149.705	0.999984
-149.7	0.999962
-149.695	0.999948
-149.69	0.999941
-149.685	0.999926
-149.68	0.99991
-149.675	0.999899
-149.67	0.999898
-149.665	0.999912
-149.66	0.999926
-149.655	0.999934
-149.65	0.999948
-149.645	0.999952
-149.64	0.999958
-149.635	0.999969
-149.63	0.999977
-149.625	0.999991
-149.62	1.00001
-149.615	1.00002
-149.61	1.00003
-149.605	1.00004
-149.6	1.00005
-149.595	1.00005
-149.59	1.00006
-149.585	1.00007
-149.58	1.00007
-149.575	1.00007
-149.57	1.00006
-149.565	1.00005
-149.56	1.00003
-149.555	1
-149.55	0.999973
-149.545	0.999945
-149.54	0.999927
-149.535	0.999921
-149.53	0.999919
-149.525	0.999916
-149.52	0.999922
-149.515	0.999932
-149.51	0.999943
-149.505	0.99995
-149.5	0.99996
-149.495	0.999972
-149.49	0.999984
-149.485	0.999998
-149.48	1.00001
-149.475	1.00003
-149.47	1.00004
-149.465	1.00005
-149.46	1.00006
-149.455	1.00006
-149.45	1.00006
-149.445	1.00006
-149.44	1.00006
-149.435	1.00006
-149.43	1.00007
-149.425	1.00005
-149.42	1.00003
-149.415	0.999995
-149.41	0.999968
-149.405	0.999947
-149.4	0.999936
-149.395	0.999929
-149.39	0.999926
-149.385	0.999918
-149.38	0.999912
-149.375	0.999907
-149.37	0.999909
-149.365	0.999918
-149.36	0.999934
-149.355	0.999949
-149.35	0.99997
-149.345	0.999991
-149.34	1.00001
-149.335	1.00002
-149.33	1.00004
-149.325	1.00006
-149.32	1.00008
-149.315	1.0001
-149.31	1.00012
-149.305	1.00013
-149.3	1.00014
-149.295	1.00016
-149.29	1.00016
-149.285	1.00016
-149.28	1.00017
-149.275	1.00016
-149.27	1.00014
-149.265	1.00013
-149.26	1.0001
-149.255	1.00007
-149.25	1.00005
-149.245	1.00003
-149.24	1
-149.235	0.999979
-149.23	0.99995
-149.225	0.99993
-149.22	0.999913
-149.215	0.999904
-149.21	0.99989
-149.205	0.999873
-149.2	0.999857
-149.195	0.999846
-149.19	0.999826
-149.185	0.999798
-149.18	0.999773
-149.175	0.999761
-149.17	0.99976
-149.165	0.99977
-149.16	0.999768
-149.155	0.999769
-149.15	0.99978
-149.145	0.999799
-149.14	0.999831
-149.135	0.999864
-149.13	0.999901
-149.125	0.999941
-149.12	0.999985
-149.115	1.00003
-149.11	1.00006
-149.105	1.00009
-149.1	1.00011
-149.095	1.00012
-149.09	1.00013
-149.085	1.00013
-149.08	1.00014
-149.075	1.00014
-149.07	1.00014
-149.065	1.00015
-149.06	1.00016
-149.055	1.00017
-149.05	1.00018
-149.045	1.00019
-149.04	1.00019
-149.035	1.00017
-149.03	1.00016
-149.025	1.00014
-149.02	1.00011
-149.015	1.00008
-149.01	1.00007
-149.005	1.00005
-149	1.00004
-148.995	1.00003
-148.99	1.00002
-148.985	1.00001
-148.98	1.00001
-148.975	1.00003
-148.97	1.00005
-148.965	1.00007
-148.96	1.00009
-148.955	1.00009
-148.95	1.00008
-148.945	1.00007
-148.94	1.00005
-148.935	1.00004
-148.93	1.00002
-148.925	0.999998
-148.92	0.999979
-148.915	0.999969
-148.91	0.999966
-148.905	0.999969
-148.9	0.999972
-148.895	0.999972
-148.89	0.999972
-148.885	0.99997
-148.88	0.999967
-148.875	0.999969
-148.87	0.999963
-148.865	0.999958
-148.86	0.99996
-148.855	0.999958
-148.85	0.999949
-148.845	0.99995
-148.84	0.999941
-148.835	0.999933
-148.83	0.999923
-148.825	0.999918
-148.82	0.999916
-148.815	0.999913
-148.81	0.99991
-148.805	0.999909
-148.8	0.999915
