# Frequency [GHz] 	Fouriercomponent
-4.99967	 0.559114
-4.99633	 0.65742
-4.993	 0.603874
-4.98967	 0.676391
-4.98633	 0.506032
-4.983	 0.536245
-4.97967	 0.481532
-4.97633	 0.506976
-4.973	 0.62058
-4.96967	 0.568236
-4.96634	 0.608587
-4.963	 0.622127
-4.95967	 0.761607
-4.95634	 0.67359
-4.953	 0.550424
-4.94967	 0.480824
-4.94634	 0.609835
-4.943	 0.665797
-4.93967	 0.667431
-4.93634	 0.555203
-4.933	 0.593367
-4.92967	 0.55826
-4.92634	 0.575327
-4.92301	 0.645268
-4.91967	 0.475311
-4.91634	 0.596275
-4.91301	 0.472934
-4.90967	 0.676177
-4.90634	 0.629661
-4.90301	 0.657249
-4.89967	 0.575279
-4.89634	 0.522746
-4.89301	 0.710307
-4.88967	 0.559815
-4.88634	 0.487987
-4.88301	 0.478331
-4.87967	 0.609911
-4.87634	 0.757062
-4.87301	 0.570718
-4.86968	 0.452697
-4.86634	 0.736926
-4.86301	 0.378253
-4.85968	 0.48678
-4.85634	 0.440256
-4.85301	 0.528849
-4.84968	 0.581595
-4.84634	 0.487902
-4.84301	 0.539289
-4.83968	 0.47614
-4.83634	 0.488023
-4.83301	 0.481058
-4.82968	 0.503752
-4.82634	 0.506364
-4.82301	 0.439858
-4.81968	 0.654371
-4.81635	 0.43622
-4.81301	 0.732822
-4.80968	 0.673567
-4.80635	 0.648526
-4.80301	 0.673433
-4.79968	 0.461107
-4.79635	 0.642896
-4.79301	 0.803703
-4.78968	 0.54682
-4.78635	 0.783778
-4.78301	 0.55865
-4.77968	 0.470705
-4.77635	 0.663368
-4.77302	 0.579619
-4.76968	 0.624171
-4.76635	 0.57732
-4.76302	 0.519203
-4.75968	 0.552979
-4.75635	 0.401227
-4.75302	 0.621773
-4.74968	 0.579012
-4.74635	 0.773199
-4.74302	 0.549965
-4.73968	 0.790953
-4.73635	 0.602974
-4.73302	 0.420816
-4.72968	 0.492925
-4.72635	 0.515928
-4.72302	 0.557015
-4.71969	 0.571542
-4.71635	 0.519824
-4.71302	 0.613238
-4.70969	 0.594759
-4.70635	 0.542649
-4.70302	 0.505619
-4.69969	 0.507114
-4.69635	 0.571237
-4.69302	 0.628227
-4.68969	 0.594699
