# Frequency [GHz] 	Fouriercomponent
-4.99967	 0.601447
-4.99633	 0.567855
-4.993	 0.657464
-4.98967	 0.610236
-4.98633	 0.524908
-4.983	 0.505007
-4.97967	 0.60249
-4.97633	 0.498805
-4.973	 0.563906
-4.96967	 0.55787
-4.96634	 0.587266
-4.963	 0.524537
-4.95967	 0.651787
-4.95634	 0.637511
-4.953	 0.58224
-4.94967	 0.494301
-4.94634	 0.595167
-4.943	 0.639953
-4.93967	 0.690737
-4.93634	 0.529758
-4.933	 0.60712
-4.92967	 0.531244
-4.92634	 0.6745
-4.92301	 0.631926
-4.91967	 0.474233
-4.91634	 0.524435
-4.91301	 0.477042
-4.90967	 0.577009
-4.90634	 0.522509
-4.90301	 0.574326
-4.89967	 0.554189
-4.89634	 0.536931
-4.89301	 0.623834
-4.88967	 0.569836
-4.88634	 0.517499
-4.88301	 0.480411
-4.87967	 0.589273
-4.87634	 0.638455
-4.87301	 0.500233
-4.86968	 0.497399
-4.86634	 0.637646
-4.86301	 0.429973
-4.85968	 0.521011
-4.85634	 0.474649
-4.85301	 0.540001
-4.84968	 0.589641
-4.84634	 0.467367
-4.84301	 0.628148
-4.83968	 0.516466
-4.83634	 0.604115
-4.83301	 0.439776
-4.82968	 0.486787
-4.82634	 0.478654
-4.82301	 0.480829
-4.81968	 0.533006
-4.81635	 0.513328
-4.81301	 0.662712
-4.80968	 0.683667
-4.80635	 0.649642
-4.80301	 0.620707
-4.79968	 0.454743
-4.79635	 0.622981
-4.79301	 0.681407
-4.78968	 0.508437
-4.78635	 0.622877
-4.78301	 0.486484
-4.77968	 0.472183
-4.77635	 0.66334
-4.77302	 0.554117
-4.76968	 0.692738
-4.76635	 0.62971
-4.76302	 0.550097
-4.75968	 0.55728
-4.75635	 0.443859
-4.75302	 0.607517
-4.74968	 0.593379
-4.74635	 0.624957
-4.74302	 0.532702
-4.73968	 0.722745
-4.73635	 0.641289
-4.73302	 0.433288
-4.72968	 0.533954
-4.72635	 0.510423
-4.72302	 0.65699
-4.71969	 0.574033
-4.71635	 0.600764
-4.71302	 0.583197
-4.70969	 0.61175
-4.70635	 0.564801
-4.70302	 0.454946
-4.69969	 0.554381
-4.69635	 0.588259
-4.69302	 0.548341
-4.68969	 0.513458
-4.68635	 0.461876
-4.68302	 0.588512
-4.67969	 0.54264
-4.67635	 0.608752
-4.67302	 0.503196
-4.66969	 0.578246
-4.66636	 0.506432
-4.66302	 0.596044
-4.65969	 0.568226
-4.65636	 0.47249
-4.65302	 0.509879
-4.64969	 0.508527
-4.64636	 0.595327
-4.64302	 0.508655
-4.63969	 0.617079
-4.63636	 0.588947
-4.63302	 0.592651
