# Delay[ns]	Correlation 	
-150	0.99984
-149.995	0.999845
-149.99	0.999855
-149.985	0.999867
-149.98	0.999885
-149.975	0.999899
-149.97	0.999912
-149.965	0.999926
-149.96	0.999938
-149.955	0.999949
-149.95	0.999958
-149.945	0.999961
-149.94	0.999966
-149.935	0.999966
-149.93	0.999956
-149.925	0.999946
-149.92	0.999942
-149.915	0.99995
-149.91	0.999962
-149.905	0.999979
-149.9	1
-149.895	1.00002
-149.89	1.00004
-149.885	1.00005
-149.88	1.00007
-149.875	1.00007
-149.87	1.00008
-149.865	1.00008
-149.86	1.00008
-149.855	1.00008
-149.85	1.00008
-149.845	1.00008
-149.84	1.00008
-149.835	1.00008
-149.83	1.00007
-149.825	1.00007
-149.82	1.00006
-149.815	1.00005
-149.81	1.00004
-149.805	1.00002
-149.8	1
-149.795	0.999988
-149.79	0.999973
-149.785	0.999958
-149.78	0.999943
-149.775	0.999933
-149.77	0.999919
-149.765	0.999915
-149.76	0.999919
-149.755	0.999927
-149.75	0.999941
-149.745	0.999957
-149.74	0.999966
-149.735	0.99998
-149.73	1
-149.725	1.00002
-149.72	1.00005
-149.715	1.00007
-149.71	1.00008
-149.705	1.0001
-149.7	1.00011
-149.695	1.00012
-149.69	1.00011
-149.685	1.00011
-149.68	1.00011
-149.675	1.00011
-149.67	1.0001
-149.665	1.00009
-149.66	1.00008
-149.655	1.00007
-149.65	1.00005
-149.645	1.00004
-149.64	1.00003
-149.635	1.00001
-149.63	0.999988
-149.625	0.999969
-149.62	0.999953
-149.615	0.999944
-149.61	0.999934
-149.605	0.999914
-149.6	0.999899
-149.595	0.99989
-149.59	0.999899
-149.585	0.999917
-149.58	0.999935
-149.575	0.999953
-149.57	0.99997
-149.565	0.999988
-149.56	1.00001
-149.555	1.00002
-149.55	1.00003
-149.545	1.00004
-149.54	1.00005
-149.535	1.00006
-149.53	1.00006
-149.525	1.00007
-149.52	1.00008
-149.515	1.00009
-149.51	1.00011
-149.505	1.00012
-149.5	1.00012
-149.495	1.00011
-149.49	1.0001
-149.485	1.00009
-149.48	1.00008
-149.475	1.00006
-149.47	1.00004
-149.465	1.00002
-149.46	0.999988
-149.455	0.99996
-149.45	0.999936
-149.445	0.999924
-149.44	0.999918
-149.435	0.999918
-149.43	0.999921
-149.425	0.999924
-149.42	0.999927
-149.415	0.999927
-149.41	0.999928
-149.405	0.99994
-149.4	0.999966
-149.395	0.999991
-149.39	1.00001
-149.385	1.00002
-149.38	1.00003
-149.375	1.00004
-149.37	1.00005
-149.365	1.00005
-149.36	1.00005
-149.355	1.00006
-149.35	1.00006
-149.345	1.00006
-149.34	1.00006
-149.335	1.00006
-149.33	1.00006
-149.325	1.00005
-149.32	1.00005
-149.315	1.00004
-149.31	1.00003
-149.305	1.00003
-149.3	1.00003
-149.295	1.00001
-149.29	1
-149.285	0.999992
-149.28	0.999981
-149.275	0.999973
-149.27	0.999973
-149.265	0.999974
-149.26	0.999981
-149.255	0.999989
-149.25	0.999989
-149.245	0.99998
-149.24	0.99997
-149.235	0.999964
-149.23	0.999961
-149.225	0.999955
-149.22	0.999942
