# Frequency [GHz] 	Fouriercomponent
-4.99967	 0.000940829
-4.99633	 0.000832464
-4.993	 0.00103913
-4.98967	 0.000963506
-4.98633	 0.00101916
-4.983	 0.00104138
-4.97967	 0.0011605
-4.97633	 0.00117919
-4.973	 0.00112632
-4.96967	 0.00125637
-4.96634	 0.00125363
-4.963	 0.0011468
-4.95967	 0.00104279
-4.95634	 0.00116142
-4.953	 0.00109963
-4.94967	 0.00116076
-4.94634	 0.0010541
-4.943	 0.00114281
-4.93967	 0.00102604
-4.93634	 0.0012785
-4.933	 0.00147977
-4.92967	 0.00128207
-4.92634	 0.00121982
-4.92301	 0.00119178
-4.91967	 0.00139921
-4.91634	 0.00152068
-4.91301	 0.00128479
-4.90967	 0.00117217
-4.90634	 0.00107833
-4.90301	 0.00144272
-4.89967	 0.00095558
-4.89634	 0.00145593
-4.89301	 0.000971175
-4.88967	 0.00166202
-4.88634	 0.00131261
-4.88301	 0.00130343
-4.87967	 0.00139121
-4.87634	 0.00164364
-4.87301	 0.00155901
-4.86968	 0.000925064
-4.86634	 0.00162449
-4.86301	 0.00134403
-4.85968	 0.0013076
-4.85634	 0.00132113
-4.85301	 0.0012055
-4.84968	 0.0016776
-4.84634	 0.00133921
-4.84301	 0.00140841
-4.83968	 0.00125345
-4.83634	 0.00166004
-4.83301	 0.00125927
-4.82968	 0.00152041
-4.82634	 0.00158084
-4.82301	 0.00140954
-4.81968	 0.00138539
-4.81635	 0.00161971
-4.81301	 0.0014503
-4.80968	 0.00150436
-4.80635	 0.00148675
-4.80301	 0.00104157
-4.79968	 0.00139868
-4.79635	 0.00142784
-4.79301	 0.00111336
-4.78968	 0.00106857
-4.78635	 0.00128513
-4.78301	 0.00135743
-4.77968	 0.00137611
-4.77635	 0.00104618
-4.77302	 0.000988997
-4.76968	 0.00139613
-4.76635	 0.00087692
-4.76302	 0.00139455
-4.75968	 0.00142595
-4.75635	 0.00135135
-4.75302	 0.0015308
-4.74968	 0.00131452
-4.74635	 0.00112806
-4.74302	 0.000990657
-4.73968	 0.00109664
-4.73635	 0.0013245
-4.73302	 0.00095679
-4.72968	 0.00131585
-4.72635	 0.00127984
-4.72302	 0.000806344
-4.71969	 0.00080017
-4.71635	 0.00110973
-4.71302	 0.00117176
-4.70969	 0.000959005
-4.70635	 0.000922454
-4.70302	 0.000890137
-4.69969	 0.0010991
-4.69635	 0.000916578
-4.69302	 0.00112663
-4.68969	 0.000780907
-4.68635	 0.000862169
-4.68302	 0.00095734
-4.67969	 0.000895078
-4.67635	 0.000916066
-4.67302	 0.000995701
-4.66969	 0.000771536
-4.66636	 0.000914958
-4.66302	 0.000847549
-4.65969	 0.000774697
-4.65636	 0.000858641
-4.65302	 0.000855215
-4.64969	 0.00105791
-4.64636	 0.000702504
-4.64302	 0.000826206
-4.63969	 0.00079596
-4.63636	 0.000669749
-4.63302	 0.000705614
-4.62969	 0.000668702
-4.62636	 0.000754447
-4.62303	 0.000817204
-4.61969	 0.000681251
-4.61636	 0.000658227
-4.61303	 0.000664586
-4.60969	 0.000628811
-4.60636	 0.000785748
-4.60303	 0.000790416
-4.59969	 0.000690648
-4.59636	 0.000539645
-4.59303	 0.000575047
-4.58969	 0.000750768
-4.58636	 0.000793089
-4.58303	 0.000586273
-4.57969	 0.000838723
-4.57636	 0.000692622
-4.57303	 0.000694845
-4.5697	 0.000692308
-4.56636	 0.000543009
-4.56303	 0.000584398
-4.5597	 0.000598398
-4.55636	 0.000616082
-4.55303	 0.000628468
-4.5497	 0.000589618
-4.54636	 0.00052715
-4.54303	 0.000722243
-4.5397	 0.000687161
-4.53636	 0.000588068
-4.53303	 0.000726647
-4.5297	 0.000631002
-4.52636	 0.000519723
-4.52303	 0.000550251
-4.5197	 0.00055788
-4.51637	 0.00053119
-4.51303	 0.000538782
-4.5097	 0.000623894
-4.50637	 0.000663244
-4.50303	 0.000631991
-4.4997	 0.000533892
-4.49637	 0.000605967
-4.49303	 0.000571722
-4.4897	 0.000586454
-4.48637	 0.000506548
-4.48303	 0.000419827
-4.4797	 0.000707257
-4.47637	 0.000467917
-4.47304	 0.00042173
-4.4697	 0.000542464
-4.46637	 0.000458947
-4.46304	 0.00045478
-4.4597	 0.000498831
-4.45637	 0.000503642
-4.45304	 0.000607585
-4.4497	 0.000643289
-4.44637	 0.000506933
-4.44304	 0.000484014
-4.4397	 0.000553661
-4.43637	 0.000463786
-4.43304	 0.000485058
-4.4297	 0.00050102
-4.42637	 0.00052895
-4.42304	 0.000401763
-4.41971	 0.000622013
-4.41637	 0.000518206
-4.41304	 0.000617706
-4.40971	 0.000498192
-4.40637	 0.000507084
-4.40304	 0.000461977
-4.39971	 0.000484535
-4.39637	 0.000514508
-4.39304	 0.000468529
-4.38971	 0.000482716
-4.38637	 0.000419717
-4.38304	 0.000481761
-4.37971	 0.000449416
-4.37637	 0.000418003
