# Frequency [GHz] 	Fouriercomponent
-4.99967	 0.57827
-4.99633	 0.55214
-4.993	 0.62832
-4.98967	 0.603488
-4.98633	 0.496363
-4.983	 0.481682
-4.97967	 0.603807
-4.97633	 0.477845
-4.973	 0.554378
-4.96967	 0.544994
-4.96634	 0.585948
-4.963	 0.502263
-4.95967	 0.648394
-4.95634	 0.618422
-4.953	 0.581684
-4.94967	 0.490015
-4.94634	 0.579678
-4.943	 0.601161
-4.93967	 0.66569
-4.93634	 0.52464
-4.933	 0.598918
-4.92967	 0.504955
-4.92634	 0.633497
-4.92301	 0.602885
-4.91967	 0.482566
-4.91634	 0.520119
-4.91301	 0.470474
-4.90967	 0.577379
-4.90634	 0.534065
-4.90301	 0.575264
-4.89967	 0.551861
-4.89634	 0.51652
-4.89301	 0.650798
-4.88967	 0.550512
-4.88634	 0.49643
-4.88301	 0.474739
-4.87967	 0.591203
-4.87634	 0.613596
-4.87301	 0.476155
-4.86968	 0.503379
-4.86634	 0.616471
-4.86301	 0.431528
-4.85968	 0.524223
-4.85634	 0.470379
-4.85301	 0.544258
-4.84968	 0.558326
-4.84634	 0.448035
-4.84301	 0.609543
-4.83968	 0.521211
-4.83634	 0.577138
-4.83301	 0.440555
-4.82968	 0.488159
-4.82634	 0.472739
-4.82301	 0.490988
-4.81968	 0.52082
-4.81635	 0.514822
-4.81301	 0.632305
-4.80968	 0.672166
-4.80635	 0.644888
-4.80301	 0.62285
-4.79968	 0.448413
-4.79635	 0.615941
-4.79301	 0.656894
-4.78968	 0.53024
-4.78635	 0.593688
-4.78301	 0.478788
-4.77968	 0.456597
-4.77635	 0.641299
-4.77302	 0.549119
-4.76968	 0.674447
-4.76635	 0.624034
-4.76302	 0.524626
-4.75968	 0.533733
-4.75635	 0.432802
-4.75302	 0.588884
-4.74968	 0.58349
-4.74635	 0.602711
-4.74302	 0.539312
-4.73968	 0.707867
-4.73635	 0.634083
-4.73302	 0.440316
-4.72968	 0.512542
-4.72635	 0.504399
-4.72302	 0.630064
-4.71969	 0.559295
-4.71635	 0.590184
-4.71302	 0.556424
-4.70969	 0.595134
-4.70635	 0.565223
-4.70302	 0.447023
-4.69969	 0.527946
-4.69635	 0.581868
-4.69302	 0.519908
-4.68969	 0.50885
-4.68635	 0.437944
-4.68302	 0.575459
-4.67969	 0.517833
-4.67635	 0.620279
-4.67302	 0.493325
-4.66969	 0.557578
-4.66636	 0.517995
-4.66302	 0.561015
-4.65969	 0.574292
-4.65636	 0.445488
-4.65302	 0.523161
-4.64969	 0.501397
-4.64636	 0.57772
-4.64302	 0.490377
-4.63969	 0.588092
-4.63636	 0.588501
-4.63302	 0.573931
-4.62969	 0.474313
-4.62636	 0.585336
-4.62303	 0.642826
-4.61969	 0.549913
-4.61636	 0.574091
-4.61303	 0.537699
-4.60969	 0.573431
-4.60636	 0.545982
-4.60303	 0.56683
-4.59969	 0.419435
-4.59636	 0.59738
-4.59303	 0.620737
-4.58969	 0.477264
-4.58636	 0.563984
-4.58303	 0.52396
-4.57969	 0.651239
-4.57636	 0.65567
-4.57303	 0.563403
-4.5697	 0.613602
-4.56636	 0.508753
-4.56303	 0.661641
-4.5597	 0.565969
-4.55636	 0.594059
-4.55303	 0.567088
-4.5497	 0.66437
-4.54636	 0.463784
-4.54303	 0.57399
-4.5397	 0.488828
-4.53636	 0.578616
-4.53303	 0.461446
-4.5297	 0.741067
-4.52636	 0.541468
-4.52303	 0.576292
-4.5197	 0.644979
-4.51637	 0.510998
-4.51303	 0.598499
-4.5097	 0.58052
-4.50637	 0.466521
-4.50303	 0.584797
-4.4997	 0.619238
-4.49637	 0.537703
-4.49303	 0.549089
-4.4897	 0.600225
-4.48637	 0.624751
-4.48303	 0.452613
-4.4797	 0.770158
-4.47637	 0.576667
-4.47304	 0.559607
-4.4697	 0.579412
-4.46637	 0.630808
-4.46304	 0.604236
-4.4597	 0.692665
-4.45637	 0.608769
-4.45304	 0.541235
-4.4497	 0.648244
-4.44637	 0.61255
-4.44304	 0.589693
-4.4397	 0.529604
-4.43637	 0.512036
-4.43304	 0.584226
-4.4297	 0.550612
-4.42637	 0.537997
-4.42304	 0.60603
-4.41971	 0.561715
-4.41637	 0.65285
-4.41304	 0.553821
-4.40971	 0.604219
-4.40637	 0.51627
-4.40304	 0.467249
