# Frequency [GHz] 	Fouriercomponent
-4.99967	 0.616538
-4.99633	 0.661443
-4.993	 0.688053
-4.98967	 0.70218
-4.98633	 0.495689
-4.983	 0.569697
-4.97967	 0.601604
-4.97633	 0.477824
-4.973	 0.619854
-4.96967	 0.590716
-4.96634	 0.664666
-4.963	 0.58224
-4.95967	 0.699113
-4.95634	 0.699222
-4.953	 0.591314
-4.94967	 0.504946
-4.94634	 0.656709
-4.943	 0.720885
-4.93967	 0.687261
-4.93634	 0.483436
-4.933	 0.655885
-4.92967	 0.550613
-4.92634	 0.728889
-4.92301	 0.674488
-4.91967	 0.498628
-4.91634	 0.570442
-4.91301	 0.496033
-4.90967	 0.677264
-4.90634	 0.599275
-4.90301	 0.657808
-4.89967	 0.600027
-4.89634	 0.59413
-4.89301	 0.699783
-4.88967	 0.624093
-4.88634	 0.531876
-4.88301	 0.520043
-4.87967	 0.662195
-4.87634	 0.719974
-4.87301	 0.581501
-4.86968	 0.486821
-4.86634	 0.68629
-4.86301	 0.472985
-4.85968	 0.571669
-4.85634	 0.444705
-4.85301	 0.556025
-4.84968	 0.637622
-4.84634	 0.523785
-4.84301	 0.643101
-4.83968	 0.569046
-4.83634	 0.629706
-4.83301	 0.480718
-4.82968	 0.533191
-4.82634	 0.503224
-4.82301	 0.474479
-4.81968	 0.617361
-4.81635	 0.560335
-4.81301	 0.694798
-4.80968	 0.726524
-4.80635	 0.704831
-4.80301	 0.633698
-4.79968	 0.466893
-4.79635	 0.68914
-4.79301	 0.768075
-4.78968	 0.524164
-4.78635	 0.689861
-4.78301	 0.547861
-4.77968	 0.478164
-4.77635	 0.666117
-4.77302	 0.631546
-4.76968	 0.757292
-4.76635	 0.622632
-4.76302	 0.572144
-4.75968	 0.592269
-4.75635	 0.472157
-4.75302	 0.651016
-4.74968	 0.672
-4.74635	 0.693734
-4.74302	 0.538872
-4.73968	 0.77379
-4.73635	 0.646538
-4.73302	 0.416919
-4.72968	 0.546898
-4.72635	 0.500388
-4.72302	 0.746415
-4.71969	 0.602491
-4.71635	 0.615328
-4.71302	 0.622893
-4.70969	 0.61662
-4.70635	 0.629766
-4.70302	 0.464015
-4.69969	 0.634978
-4.69635	 0.622597
-4.69302	 0.619355
-4.68969	 0.558354
-4.68635	 0.535226
-4.68302	 0.618916
-4.67969	 0.541401
-4.67635	 0.654297
-4.67302	 0.491596
-4.66969	 0.688093
-4.66636	 0.524616
-4.66302	 0.56001
-4.65969	 0.547593
-4.65636	 0.51543
-4.65302	 0.529097
-4.64969	 0.533241
-4.64636	 0.569871
-4.64302	 0.532904
-4.63969	 0.690715
-4.63636	 0.620265
-4.63302	 0.621454
-4.62969	 0.486242
-4.62636	 0.681629
-4.62303	 0.714635
-4.61969	 0.587687
-4.61636	 0.585058
-4.61303	 0.571842
-4.60969	 0.646523
-4.60636	 0.578967
-4.60303	 0.608418
-4.59969	 0.485355
-4.59636	 0.652275
-4.59303	 0.672211
-4.58969	 0.506938
-4.58636	 0.620962
-4.58303	 0.551675
-4.57969	 0.777668
-4.57636	 0.685314
-4.57303	 0.639199
-4.5697	 0.667309
-4.56636	 0.499095
-4.56303	 0.735974
-4.5597	 0.608486
-4.55636	 0.615778
-4.55303	 0.604367
-4.5497	 0.709688
-4.54636	 0.458889
-4.54303	 0.625577
-4.5397	 0.554381
-4.53636	 0.643355
-4.53303	 0.532355
-4.5297	 0.811112
-4.52636	 0.51739
-4.52303	 0.5643
-4.5197	 0.784732
-4.51637	 0.564983
-4.51303	 0.604714
-4.5097	 0.563632
-4.50637	 0.521329
-4.50303	 0.649804
-4.4997	 0.708164
-4.49637	 0.618521
