# Delay[ns]	Correlation 	
-150	0.999655
-149.995	0.999668
-149.99	0.999684
-149.985	0.99969
-149.98	0.999696
-149.975	0.999703
-149.97	0.9997
-149.965	0.99968
-149.96	0.999624
-149.955	0.999571
-149.95	0.999557
-149.945	0.999518
-149.94	0.999498
-149.935	0.999467
-149.93	0.999475
-149.925	0.999501
-149.92	0.99953
-149.915	0.999549
-149.91	0.999571
-149.905	0.999573
-149.9	0.999558
-149.895	0.999544
-149.89	0.999556
-149.885	0.999586
-149.88	0.99963
-149.875	0.999658
-149.87	0.99968
-149.865	0.999729
-149.86	0.999802
-149.855	0.999864
-149.85	0.999958
-149.845	1.00003
-149.84	1.00007
-149.835	1.00016
-149.83	1.00025
-149.825	1.00033
-149.82	1.00042
-149.815	1.00052
-149.81	1.00061
-149.805	1.0007
-149.8	1.00078
-149.795	1.00088
-149.79	1.00097
-149.785	1.00109
-149.78	1.0012
-149.775	1.00131
-149.77	1.00141
-149.765	1.00153
-149.76	1.00164
-149.755	1.00172
-149.75	1.00175
-149.745	1.00176
-149.74	1.00174
-149.735	1.00169
-149.73	1.00164
-149.725	1.00157
-149.72	1.0015
-149.715	1.00142
-149.71	1.00132
-149.705	1.00123
-149.7	1.00111
-149.695	1.00094
-149.69	1.00074
-149.685	1.00054
-149.68	1.00033
-149.675	1.00013
-149.67	0.999929
-149.665	0.999723
-149.66	0.999527
-149.655	0.999378
-149.65	0.999239
-149.645	0.999105
-149.64	0.998983
-149.635	0.998866
-149.63	0.998743
-149.625	0.998608
-149.62	0.998472
-149.615	0.998355
-149.61	0.998261
-149.605	0.998172
-149.6	0.998094
-149.595	0.998006
-149.59	0.997907
-149.585	0.997825
-149.58	0.997772
-149.575	0.997767
-149.57	0.997779
-149.565	0.997807
-149.56	0.997855
-149.555	0.997896
-149.55	0.997961
-149.545	0.998041
-149.54	0.998166
-149.535	0.998328
-149.53	0.998496
-149.525	0.998671
-149.52	0.998859
-149.515	0.999069
-149.51	0.999304
-149.505	0.999539
-149.5	0.999782
-149.495	1.00005
-149.49	1.00027
-149.485	1.00049
-149.48	1.00073
-149.475	1.00096
-149.47	1.00115
-149.465	1.00132
-149.46	1.00148
-149.455	1.00163
-149.45	1.00175
-149.445	1.00183
-149.44	1.00188
-149.435	1.00191
-149.43	1.00195
-149.425	1.00196
-149.42	1.00193
-149.415	1.00187
-149.41	1.0018
-149.405	1.00173
-149.4	1.00164
-149.395	1.00151
-149.39	1.00141
-149.385	1.0013
-149.38	1.00121
-149.375	1.00112
-149.37	1.001
-149.365	1.00086
-149.36	1.0007
-149.355	1.00058
-149.35	1.00044
-149.345	1.0003
-149.34	1.00016
-149.335	1.00005
-149.33	0.999917
-149.325	0.999798
-149.32	0.999698
-149.315	0.999601
-149.31	0.999508
-149.305	0.999392
-149.3	0.999275
-149.295	0.999187
-149.29	0.999124
-149.285	0.999112
-149.28	0.999124
-149.275	0.999104
-149.27	0.999082
-149.265	0.999075
-149.26	0.999085
-149.255	0.999114
-149.25	0.999172
-149.245	0.999258
-149.24	0.999356
-149.235	0.999447
-149.23	0.999538
-149.225	0.999608
-149.22	0.999628
-149.215	0.999657
-149.21	0.999676
-149.205	0.999679
-149.2	0.999667
-149.195	0.999667
-149.19	0.999663
-149.185	0.999669
-149.18	0.999688
-149.175	0.999668
-149.17	0.999627
-149.165	0.999576
-149.16	0.999519
-149.155	0.999482
-149.15	0.999457
-149.145	0.999458
-149.14	0.999486
-149.135	0.999531
-149.13	0.999597
-149.125	0.999648
-149.12	0.999698
-149.115	0.999743
-149.11	0.999761
-149.105	0.999751
-149.1	0.999751
-149.095	0.999774
-149.09	0.999792
-149.085	0.999794
-149.08	0.999795
-149.075	0.999795
-149.07	0.999808
-149.065	0.999859
-149.06	0.999922
-149.055	0.999989
-149.05	1.00003
-149.045	1.00005
-149.04	1.00005
-149.035	1.00008
-149.03	1.0001
-149.025	1.00012
-149.02	1.00015
-149.015	1.00021
-149.01	1.00026
-149.005	1.0003
-149	1.00035
-148.995	1.00038
-148.99	1.00042
-148.985	1.00047
-148.98	1.00053
-148.975	1.00058
-148.97	1.00068
-148.965	1.00078
-148.96	1.00087
-148.955	1.00097
-148.95	1.00106
-148.945	1.00121
-148.94	1.00136
-148.935	1.00149
-148.93	1.00161
-148.925	1.00172
-148.92	1.00182
-148.915	1.00187
-148.91	1.00187
-148.905	1.00183
-148.9	1.00177
-148.895	1.00168
-148.89	1.00154
-148.885	1.00138
-148.88	1.0012
-148.875	1.001
-148.87	1.0008
-148.865	1.00058
-148.86	1.00037
-148.855	1.00014
-148.85	0.999942
-148.845	0.999776
-148.84	0.99961
-148.835	0.999442
-148.83	0.999296
-148.825	0.999183
-148.82	0.999065
-148.815	0.998926
-148.81	0.998756
-148.805	0.998605
-148.8	0.998481
-148.795	0.998381
-148.79	0.998245
-148.785	0.998094
-148.78	0.997947
-148.775	0.997832
-148.77	0.997767
-148.765	0.997716
-148.76	0.99768
-148.755	0.997642
-148.75	0.997654
-148.745	0.997698
-148.74	0.997746
-148.735	0.997821
-148.73	0.997897
-148.725	0.997952
-148.72	0.998001
-148.715	0.998075
-148.71	0.998215
-148.705	0.998366
-148.7	0.998537
-148.695	0.998735
-148.69	0.99892
-148.685	0.999116
-148.68	0.999351
-148.675	0.999627
-148.67	0.999892
-148.665	1.00017
-148.66	1.00043
-148.655	1.00071
-148.65	1.00098
-148.645	1.00123
-148.64	1.00146
-148.635	1.00168
-148.63	1.00184
-148.625	1.00197
-148.62	1.00206
-148.615	1.00214
-148.61	1.00221
-148.605	1.00224
-148.6	1.00224
-148.595	1.0022
-148.59	1.00214
-148.585	1.00205
-148.58	1.00198
-148.575	1.00192
-148.57	1.00183
-148.565	1.00174
-148.56	1.00163
-148.555	1.0015
-148.55	1.00136
-148.545	1.00124
-148.54	1.00111
-148.535	1.00092
-148.53	1.00072
-148.525	1.00055
-148.52	1.00037
-148.515	1.00019
-148.51	0.999987
-148.505	0.999809
-148.5	0.99964
-148.495	0.999484
-148.49	0.999332
-148.485	0.999198
