# Frequency [GHz] 	Fouriercomponent
-4.11639	 0.805898
-4.11306	 0.711708
-4.10973	 0.390676
-4.10639	 0.544796
-4.10306	 0.649772
-4.09973	 0.709818
-4.09639	 0.648196
-4.09306	 0.868595
-4.08973	 0.622898
-4.08639	 0.67275
-4.08306	 0.447328
-4.07973	 0.567274
-4.07639	 0.788624
-4.07306	 1.05486
-4.06973	 0.461595
-4.0664	 0.834018
-4.06306	 0.908642
-4.05973	 0.609251
-4.0564	 0.566204
-4.05306	 0.6206
-4.04973	 0.715775
-4.0464	 0.677988
-4.04306	 0.581045
-4.03973	 0.636317
-4.0364	 0.776932
-4.03306	 0.464463
-4.02973	 0.447298
-4.0264	 0.473616
-4.02307	 0.542359
-4.01973	 0.74854
-4.0164	 0.730656
-4.01307	 0.647684
-4.00973	 0.83955
-4.0064	 0.594003
-4.00307	 0.837062
-3.99973	 0.647009
-3.9964	 0.671504
-3.99307	 0.828814
-3.98973	 0.543461
-3.9864	 0.861198
-3.98307	 0.902907
-3.97973	 0.41539
-3.9764	 0.544065
-3.97307	 0.518758
-3.96974	 0.561303
-3.9664	 0.527553
-3.96307	 0.887761
-3.95974	 0.595748
-3.9564	 0.395694
-3.95307	 0.526111
-3.94974	 0.659941
-3.9464	 0.513394
-3.94307	 0.550584
-3.93974	 0.840997
-3.9364	 0.571278
-3.93307	 0.619528
-3.92974	 0.452445
-3.9264	 0.517842
-3.92307	 0.773813
-3.91974	 0.718431
-3.91641	 0.889974
-3.91307	 0.687866
-3.90974	 0.538623
-3.90641	 0.614561
-3.90307	 0.562374
-3.89974	 0.61187
-3.89641	 0.530726
-3.89307	 0.884657
-3.88974	 0.45948
-3.88641	 0.75614
-3.88307	 0.919048
-3.87974	 0.648873
-3.87641	 0.728381
-3.87308	 0.811351
-3.86974	 0.898951
-3.86641	 0.701998
-3.86308	 0.602948
-3.85974	 0.85289
-3.85641	 0.640148
-3.85308	 0.628325
-3.84974	 0.921794
-3.84641	 0.783353
-3.84308	 0.607892
-3.83974	 0.53885
-3.83641	 0.919532
-3.83308	 0.668792
-3.82974	 0.852081
-3.82641	 0.690716
-3.82308	 0.651516
-3.81975	 0.806488
-3.81641	 0.597894
-3.81308	 0.725635
-3.80975	 0.548483
-3.80641	 0.54293
-3.80308	 0.590955
-3.79975	 0.385643
-3.79641	 0.569675
-3.79308	 1.03798
-3.78975	 0.626029
-3.78641	 0.625056
-3.78308	 0.533475
-3.77975	 0.910947
-3.77641	 0.947778
-3.77308	 0.579768
-3.76975	 0.435518
-3.76642	 0.662908
-3.76308	 0.581673
-3.75975	 1.05368
-3.75642	 0.729472
-3.75308	 0.518294
-3.74975	 0.684984
-3.74642	 0.630558
-3.74308	 1.01533
-3.73975	 0.819704
-3.73642	 0.704435
-3.73308	 0.641195
-3.72975	 0.995795
-3.72642	 0.994594
-3.72309	 0.696882
-3.71975	 0.545861
-3.71642	 0.638545
-3.71309	 0.402499
-3.70975	 0.531775
-3.70642	 0.745778
-3.70309	 0.626673
-3.69975	 0.867242
-3.69642	 0.510705
-3.69309	 0.467531
-3.68975	 0.56383
-3.68642	 0.550769
-3.68309	 0.872215
-3.67975	 0.339034
-3.67642	 0.509763
-3.67309	 0.658226
-3.66976	 0.438834
-3.66642	 0.761903
-3.66309	 0.523926
-3.65976	 0.522104
-3.65642	 0.756728
-3.65309	 0.820129
-3.64976	 0.723898
-3.64642	 0.840124
-3.64309	 0.530857
-3.63976	 0.584022
-3.63642	 0.943261
-3.63309	 0.517219
-3.62976	 0.795452
-3.62642	 0.736105
-3.62309	 0.565668
-3.61976	 0.606425
-3.61643	 0.752306
-3.61309	 0.751675
-3.60976	 0.399289
-3.60643	 0.608587
-3.60309	 0.69322
-3.59976	 1.12081
-3.59643	 0.510568
-3.59309	 0.475091
-3.58976	 0.681911
-3.58643	 0.507158
-3.58309	 0.687312
-3.57976	 0.380187
-3.57643	 0.447836
-3.5731	 0.802936
-3.56976	 0.647968
-3.56643	 0.670798
-3.5631	 0.724013
-3.55976	 0.843104
-3.55643	 0.608202
-3.5531	 0.5762
-3.54976	 0.656555
-3.54643	 0.738419
-3.5431	 0.66645
-3.53976	 0.592417
-3.53643	 1.10041
-3.5331	 0.625539
-3.52976	 0.781837
-3.52643	 0.419599
-3.5231	 0.764162
-3.51977	 0.759959
-3.51643	 0.873392
-3.5131	 0.880801
-3.50977	 0.639582
-3.50643	 0.674552
-3.5031	 0.749859
-3.49977	 0.723425
-3.49643	 0.819383
-3.4931	 0.716217
-3.48977	 0.514484
-3.48643	 1.12104
-3.4831	 0.616012
-3.47977	 0.687756
-3.47643	 0.74807
-3.4731	 0.697004
-3.46977	 0.856448
-3.46644	 0.849116
-3.4631	 0.688705
-3.45977	 0.627137
-3.45644	 0.464436
-3.4531	 0.853137
-3.44977	 0.637993
-3.44644	 0.676732
-3.4431	 0.785487
-3.43977	 0.821313
-3.43644	 0.593515
-3.4331	 0.744563
-3.42977	 1.03241
-3.42644	 0.496841
-3.42311	 0.668628
-3.41977	 0.482586
-3.41644	 0.978596
-3.41311	 0.670391
-3.40977	 0.81446
-3.40644	 0.902312
-3.40311	 0.530665
-3.39977	 0.71318
-3.39644	 0.899607
-3.39311	 0.572919
-3.38977	 0.54323
-3.38644	 0.748337
-3.38311	 0.770483
-3.37977	 1.04428
-3.37644	 0.766824
-3.37311	 0.393601
-3.36978	 0.592907
-3.36644	 0.556888
-3.36311	 0.699973
-3.35978	 0.79156
-3.35644	 0.392589
-3.35311	 0.549952
-3.34978	 0.623223
-3.34644	 0.484409
-3.34311	 0.481928
-3.33978	 0.771805
-3.33644	 0.868292
-3.33311	 0.87953
-3.32978	 0.509861
-3.32644	 0.587206
-3.32311	 0.508417
-3.31978	 0.73657
-3.31645	 0.35831
-3.31311	 0.976642
-3.30978	 0.936604
-3.30645	 0.449404
-3.30311	 0.949324
-3.29978	 0.747942
-3.29645	 0.627459
-3.29311	 0.729495
-3.28978	 0.691104
-3.28645	 0.869619
-3.28311	 0.652696
-3.27978	 0.504033
-3.27645	 0.776096
-3.27312	 0.515976
-3.26978	 0.621308
-3.26645	 0.56581
-3.26312	 0.859773
-3.25978	 0.601284
-3.25645	 0.821609
-3.25312	 1.04133
-3.24978	 1.0278
