# Frequency [GHz] 	Fouriercomponent
-4.99967	 0.000764566
-4.99633	 0.000632784
-4.993	 0.00075284
-4.98967	 0.00078014
-4.98633	 0.000796351
-4.983	 0.000797768
-4.97967	 0.000873163
-4.97633	 0.000911839
-4.973	 0.000853175
-4.96967	 0.00100522
-4.96634	 0.000892678
-4.963	 0.000819771
-4.95967	 0.000795891
-4.95634	 0.000925995
-4.953	 0.000890667
-4.94967	 0.000897823
-4.94634	 0.000827965
-4.943	 0.000943338
-4.93967	 0.000799606
-4.93634	 0.000876854
-4.933	 0.00110095
-4.92967	 0.000958749
-4.92634	 0.000961063
-4.92301	 0.000874987
-4.91967	 0.000995849
-4.91634	 0.00111253
-4.91301	 0.00101504
-4.90967	 0.000948629
-4.90634	 0.000866056
-4.90301	 0.00114816
-4.89967	 0.000728875
-4.89634	 0.00111273
-4.89301	 0.000846828
-4.88967	 0.00117782
-4.88634	 0.000947995
-4.88301	 0.000967453
-4.87967	 0.00107854
-4.87634	 0.00122456
-4.87301	 0.00113987
-4.86968	 0.000846462
-4.86634	 0.00123158
-4.86301	 0.000930297
-4.85968	 0.00112078
-4.85634	 0.000963507
-4.85301	 0.000915525
-4.84968	 0.00125595
-4.84634	 0.00101197
-4.84301	 0.00102208
-4.83968	 0.000950167
-4.83634	 0.00123622
-4.83301	 0.00096131
-4.82968	 0.00115774
-4.82634	 0.00131406
-4.82301	 0.00104861
-4.81968	 0.0010017
-4.81635	 0.00120854
-4.81301	 0.00119877
-4.80968	 0.00117426
-4.80635	 0.001117
-4.80301	 0.000792025
-4.79968	 0.00105509
-4.79635	 0.00118094
-4.79301	 0.000909612
-4.78968	 0.000946835
-4.78635	 0.00103329
-4.78301	 0.00103525
-4.77968	 0.00108486
-4.77635	 0.000983965
-4.77302	 0.00077649
-4.76968	 0.00113754
-4.76635	 0.000723407
-4.76302	 0.00109347
-4.75968	 0.00108401
-4.75635	 0.00096108
-4.75302	 0.00111349
-4.74968	 0.000962239
-4.74635	 0.000925434
-4.74302	 0.000780189
-4.73968	 0.000852786
-4.73635	 0.000973604
-4.73302	 0.000748729
-4.72968	 0.00105694
-4.72635	 0.00103518
-4.72302	 0.000715807
-4.71969	 0.0006484
-4.71635	 0.000790745
-4.71302	 0.000930519
-4.70969	 0.00075256
-4.70635	 0.000726055
-4.70302	 0.000789029
-4.69969	 0.000832393
-4.69635	 0.000765012
-4.69302	 0.000838011
-4.68969	 0.000691708
-4.68635	 0.000689272
-4.68302	 0.00068705
-4.67969	 0.000715798
-4.67635	 0.000780096
