# Frequency [GHz] 	Fouriercomponent
-4.99967	 0.393148
-4.99633	 0.519231
-4.993	 0.527132
-4.98967	 0.604833
-4.98633	 0.598545
-4.983	 0.588342
-4.97967	 0.450278
-4.97633	 0.566358
-4.973	 0.597936
-4.96967	 0.490966
-4.96634	 0.588714
-4.963	 0.590798
-4.95967	 0.768586
-4.95634	 0.602844
-4.953	 0.511295
-4.94967	 0.48906
-4.94634	 0.636345
-4.943	 0.740207
-4.93967	 0.743388
-4.93634	 0.540369
-4.933	 0.5165
-4.92967	 0.563775
-4.92634	 0.55653
-4.92301	 0.66606
-4.91967	 0.37653
-4.91634	 0.653259
-4.91301	 0.316665
-4.90967	 0.569333
-4.90634	 0.55766
-4.90301	 0.495749
-4.89967	 0.544831
-4.89634	 0.48706
-4.89301	 0.706278
-4.88967	 0.519249
-4.88634	 0.391655
-4.88301	 0.499617
-4.87967	 0.596265
-4.87634	 0.731699
-4.87301	 0.543167
-4.86968	 0.520123
-4.86634	 0.716154
-4.86301	 0.420949
-4.85968	 0.501859
-4.85634	 0.374396
-4.85301	 0.441045
-4.84968	 0.652395
-4.84634	 0.474766
-4.84301	 0.527459
-4.83968	 0.49911
-4.83634	 0.489317
-4.83301	 0.490121
-4.82968	 0.495132
-4.82634	 0.53171
-4.82301	 0.374391
-4.81968	 0.635577
-4.81635	 0.506785
-4.81301	 0.638942
-4.80968	 0.56238
-4.80635	 0.550244
-4.80301	 0.646927
-4.79968	 0.425741
-4.79635	 0.529144
-4.79301	 0.570648
-4.78968	 0.50174
-4.78635	 0.914302
-4.78301	 0.470019
-4.77968	 0.50229
-4.77635	 0.757629
-4.77302	 0.53884
-4.76968	 0.745461
-4.76635	 0.576116
-4.76302	 0.446981
-4.75968	 0.510441
-4.75635	 0.399339
-4.75302	 0.546647
-4.74968	 0.558343
-4.74635	 0.669332
-4.74302	 0.526299
-4.73968	 0.770983
-4.73635	 0.656324
-4.73302	 0.310762
-4.72968	 0.501799
-4.72635	 0.524997
-4.72302	 0.628783
-4.71969	 0.56849
-4.71635	 0.412236
-4.71302	 0.50088
-4.70969	 0.578709
-4.70635	 0.562137
-4.70302	 0.49541
-4.69969	 0.382402
-4.69635	 0.491543
-4.69302	 0.494958
-4.68969	 0.680631
-4.68635	 0.617667
-4.68302	 0.572609
-4.67969	 0.555117
-4.67635	 0.586164
-4.67302	 0.423976
-4.66969	 0.768351
-4.66636	 0.458801
-4.66302	 0.421732
-4.65969	 0.529359
-4.65636	 0.435361
-4.65302	 0.548587
-4.64969	 0.381873
-4.64636	 0.622384
-4.64302	 0.415543
-4.63969	 0.507926
-4.63636	 0.632894
-4.63302	 0.512183
-4.62969	 0.463414
-4.62636	 0.524408
-4.62303	 0.791719
-4.61969	 0.523052
-4.61636	 0.555363
-4.61303	 0.601486
-4.60969	 0.529727
-4.60636	 0.564894
-4.60303	 0.511782
-4.59969	 0.359513
-4.59636	 0.53103
-4.59303	 0.639009
-4.58969	 0.492238
-4.58636	 0.53551
-4.58303	 0.4367
-4.57969	 0.735921
-4.57636	 0.618823
-4.57303	 0.647689
-4.5697	 0.660604
-4.56636	 0.54984
-4.56303	 0.615688
-4.5597	 0.496855
-4.55636	 0.573163
-4.55303	 0.575791
-4.5497	 0.745386
-4.54636	 0.344407
-4.54303	 0.630418
-4.5397	 0.458489
-4.53636	 0.597137
-4.53303	 0.449922
-4.5297	 0.880349
-4.52636	 0.593666
-4.52303	 0.531043
-4.5197	 0.773029
-4.51637	 0.54003
-4.51303	 0.536717
-4.5097	 0.563447
-4.50637	 0.502263
-4.50303	 0.635404
-4.4997	 0.713925
-4.49637	 0.465137
-4.49303	 0.620974
-4.4897	 0.640412
-4.48637	 0.645162
-4.48303	 0.342865
-4.4797	 0.866845
-4.47637	 0.521907
-4.47304	 0.594334
-4.4697	 0.440278
-4.46637	 0.635409
-4.46304	 0.650423
-4.4597	 0.702588
-4.45637	 0.637876
-4.45304	 0.49078
-4.4497	 0.599243
-4.44637	 0.508263
-4.44304	 0.68754
-4.4397	 0.506329
-4.43637	 0.474958
-4.43304	 0.610704
-4.4297	 0.621541
-4.42637	 0.387899
-4.42304	 0.771549
-4.41971	 0.513626
-4.41637	 0.705957
-4.41304	 0.559668
-4.40971	 0.506587
-4.40637	 0.58532
-4.40304	 0.483936
-4.39971	 0.584503
-4.39637	 0.586378
-4.39304	 0.675837
-4.38971	 0.493504
-4.38637	 0.471985
-4.38304	 0.638135
-4.37971	 0.520921
-4.37637	 0.655327
-4.37304	 0.39129
-4.36971	 0.445141
-4.36638	 0.475359
-4.36304	 0.650192
-4.35971	 0.853501
-4.35638	 0.611715
-4.35304	 0.55025
-4.34971	 0.372951
-4.34638	 0.451256
-4.34304	 0.683645
-4.33971	 0.661617
-4.33638	 0.550904
-4.33304	 0.456703
-4.32971	 0.64966
-4.32638	 0.684021
-4.32305	 0.619645
-4.31971	 0.607465
-4.31638	 0.527371
-4.31305	 0.598298
-4.30971	 0.581232
-4.30638	 0.575133
-4.30305	 0.551262
-4.29971	 0.575269
-4.29638	 0.653449
-4.29305	 0.603829
-4.28971	 0.542369
-4.28638	 0.551589
-4.28305	 0.604394
-4.27971	 0.391932
-4.27638	 0.551995
-4.27305	 0.49626
-4.26972	 0.490239
-4.26638	 0.487874
-4.26305	 0.75375
-4.25972	 0.567266
-4.25638	 0.645851
-4.25305	 0.635138
-4.24972	 0.611016
-4.24638	 0.511991
-4.24305	 0.744663
-4.23972	 0.722433
-4.23638	 0.510235
-4.23305	 0.650032
-4.22972	 0.345238
-4.22638	 0.537048
-4.22305	 0.692235
-4.21972	 0.785635
-4.21639	 0.433101
-4.21305	 0.658555
-4.20972	 0.521246
-4.20639	 0.577898
-4.20305	 0.659908
-4.19972	 0.758417
-4.19639	 0.454217
-4.19305	 0.600969
-4.18972	 0.451315
-4.18639	 0.604294
-4.18305	 0.678158
-4.17972	 0.56503
-4.17639	 0.606789
-4.17306	 0.735409
-4.16972	 0.487943
-4.16639	 0.62017
-4.16306	 0.473399
-4.15972	 0.457793
-4.15639	 0.625051
-4.15306	 0.551519
-4.14972	 0.641769
-4.14639	 0.576564
-4.14306	 0.50859
-4.13972	 0.665446
-4.13639	 0.64825
-4.13306	 0.618329
-4.12972	 0.741786
-4.12639	 0.602366
-4.12306	 0.670366
-4.11973	 0.683288
-4.11639	 0.758316
-4.11306	 0.498816
-4.10973	 0.545411
-4.10639	 0.412902
-4.10306	 0.503048
-4.09973	 0.504657
-4.09639	 0.682493
-4.09306	 0.652756
-4.08973	 0.496841
-4.08639	 0.512103
-4.08306	 0.357391
-4.07973	 0.546728
-4.07639	 0.521946
-4.07306	 0.746456
-4.06973	 0.444294
-4.0664	 0.665056
-4.06306	 0.669034
-4.05973	 0.666527
-4.0564	 0.466362
-4.05306	 0.692138
-4.04973	 0.601653
-4.0464	 0.572819
-4.04306	 0.506656
-4.03973	 0.548598
-4.0364	 0.839629
-4.03306	 0.375271
-4.02973	 0.429461
-4.0264	 0.404346
-4.02307	 0.577771
-4.01973	 0.545073
-4.0164	 0.626287
-4.01307	 0.556923
-4.00973	 0.678949
-4.0064	 0.536396
-4.00307	 0.685568
-3.99973	 0.551072
-3.9964	 0.517701
-3.99307	 0.807064
-3.98973	 0.457329
-3.9864	 0.770171
-3.98307	 0.653294
-3.97973	 0.436042
-3.9764	 0.492459
-3.97307	 0.594809
-3.96974	 0.570769
-3.9664	 0.406657
-3.96307	 0.733513
-3.95974	 0.564573
-3.9564	 0.419154
-3.95307	 0.483917
-3.94974	 0.690734
-3.9464	 0.555975
-3.94307	 0.542968
-3.93974	 0.687776
-3.9364	 0.661633
-3.93307	 0.531829
-3.92974	 0.597166
-3.9264	 0.591487
-3.92307	 0.626421
-3.91974	 0.63645
-3.91641	 0.691831
-3.91307	 0.650865
-3.90974	 0.499912
-3.90641	 0.462834
-3.90307	 0.618437
-3.89974	 0.492576
-3.89641	 0.453905
-3.89307	 0.710142
-3.88974	 0.468474
-3.88641	 0.697081
-3.88307	 0.83573
-3.87974	 0.728588
-3.87641	 0.618222
-3.87308	 0.741948
-3.86974	 0.702305
-3.86641	 0.490764
-3.86308	 0.526449
-3.85974	 0.794133
-3.85641	 0.654174
-3.85308	 0.50169
-3.84974	 0.724039
-3.84641	 0.745124
-3.84308	 0.566949
-3.83974	 0.476649
-3.83641	 0.695844
-3.83308	 0.638492
-3.82974	 0.672208
-3.82641	 0.860509
-3.82308	 0.583621
-3.81975	 0.679787
-3.81641	 0.650645
-3.81308	 0.748619
-3.80975	 0.565192
-3.80641	 0.510923
-3.80308	 0.523548
-3.79975	 0.399793
-3.79641	 0.519089
-3.79308	 0.921636
-3.78975	 0.665046
-3.78641	 0.568945
-3.78308	 0.622212
-3.77975	 0.71613
-3.77641	 0.922392
-3.77308	 0.631353
-3.76975	 0.476757
-3.76642	 0.682748
-3.76308	 0.575705
-3.75975	 0.932722
-3.75642	 0.657557
-3.75308	 0.659824
-3.74975	 0.526461
-3.74642	 0.586594
-3.74308	 0.704782
-3.73975	 0.76369
-3.73642	 0.748954
-3.73308	 0.613374
-3.72975	 0.794618
-3.72642	 0.720619
-3.72309	 0.700903
-3.71975	 0.518528
-3.71642	 0.682388
-3.71309	 0.425302
-3.70975	 0.534556
-3.70642	 0.728388
-3.70309	 0.619553
-3.69975	 0.650237
-3.69642	 0.683891
-3.69309	 0.488579
-3.68975	 0.525227
-3.68642	 0.479313
-3.68309	 0.666753
-3.67975	 0.579407
-3.67642	 0.614271
-3.67309	 0.716058
-3.66976	 0.36654
-3.66642	 0.711961
-3.66309	 0.436927
-3.65976	 0.602255
-3.65642	 0.592459
-3.65309	 0.814905
-3.64976	 0.765928
-3.64642	 0.634659
-3.64309	 0.440845
-3.63976	 0.616927
-3.63642	 0.709247
-3.63309	 0.676729
-3.62976	 0.648537
-3.62642	 0.716602
-3.62309	 0.612864
-3.61976	 0.52574
-3.61643	 0.675463
-3.61309	 0.698036
-3.60976	 0.5556
-3.60643	 0.5477
-3.60309	 0.725094
-3.59976	 0.799987
-3.59643	 0.592579
-3.59309	 0.556097
-3.58976	 0.770239
-3.58643	 0.487627
-3.58309	 0.76232
-3.57976	 0.520448
-3.57643	 0.693679
-3.5731	 0.645342
-3.56976	 0.561167
-3.56643	 0.762222
-3.5631	 0.673634
-3.55976	 0.677581
-3.55643	 0.60612
-3.5531	 0.516653
-3.54976	 0.53618
-3.54643	 0.543105
-3.5431	 0.491687
-3.53976	 0.683906
-3.53643	 0.928668
-3.5331	 0.616697
-3.52976	 0.766462
-3.52643	 0.421669
-3.5231	 0.583862
-3.51977	 0.841979
-3.51643	 0.819123
-3.5131	 0.630301
-3.50977	 0.740097
-3.50643	 0.635848
-3.5031	 0.724488
-3.49977	 0.649414
-3.49643	 0.677009
-3.4931	 0.623536
-3.48977	 0.536319
-3.48643	 0.839252
-3.4831	 0.667542
-3.47977	 0.600669
-3.47643	 0.610293
-3.4731	 0.565458
-3.46977	 0.82767
-3.46644	 0.609073
-3.4631	 0.699787
-3.45977	 0.508668
