# Delay[ns]	Correlation 	
-150	1.00005
-149.995	0.99991
-149.99	0.999754
-149.985	0.999645
-149.98	0.999596
-149.975	0.999642
-149.97	0.999818
-149.965	1.00006
-149.96	1.00028
-149.955	1.00048
-149.95	1.00056
-149.945	1.00054
-149.94	1.00046
-149.935	1.00036
-149.93	1.00023
-149.925	1.00004
-149.92	0.999867
-149.915	0.999733
-149.91	0.999604
-149.905	0.999587
-149.9	0.999551
-149.895	0.999549
-149.89	0.999526
-149.885	0.999496
-149.88	0.999452
-149.875	0.999427
-149.87	0.999536
-149.865	0.999651
-149.86	0.99973
-149.855	0.99979
-149.85	0.999781
-149.845	0.999799
-149.84	0.999748
-149.835	0.999637
-149.83	0.999509
-149.825	0.999458
-149.82	0.99942
-149.815	0.999445
-149.81	0.999528
-149.805	0.999704
-149.8	0.999828
-149.795	0.999884
-149.79	0.999922
-149.785	0.999861
-149.78	0.999756
-149.775	0.999583
-149.77	0.999385
-149.765	0.999185
-149.76	0.99899
-149.755	0.998914
-149.75	0.998902
-149.745	0.998921
-149.74	0.998979
-149.735	0.999142
-149.73	0.999231
-149.725	0.999356
-149.72	0.999438
-149.715	0.999447
-149.71	0.999476
-149.705	0.999603
-149.7	0.99971
-149.695	0.999763
-149.69	0.999774
-149.685	0.999721
-149.68	0.999727
-149.675	0.999722
-149.67	0.999676
-149.665	0.999668
-149.66	0.999717
-149.655	0.999817
-149.65	0.999851
-149.645	0.999916
-149.64	1.00004
-149.635	1.00013
-149.63	1.00025
-149.625	1.00027
-149.62	1.0003
-149.615	1.00027
-149.61	1.00023
-149.605	1.00019
-149.6	1.00022
-149.595	1.00025
-149.59	1.00022
-149.585	1.00018
-149.58	1.00011
-149.575	1.0001
-149.57	1.00005
-149.565	0.999974
-149.56	1
-149.555	1.0001
-149.55	1.00017
-149.545	1.00024
-149.54	1.00026
-149.535	1.00031
-149.53	1.00042
-149.525	1.00049
-149.52	1.00052
-149.515	1.00057
-149.51	1.00045
-149.505	1.00023
-149.5	1.00006
-149.495	1.00001
-149.49	1
-149.485	1.00004
-149.48	1.00007
-149.475	1.00009
-149.47	1.00007
-149.465	1.00006
-149.46	1.00007
-149.455	1.00008
-149.45	0.999986
