# Frequency [GHz] 	Fouriercomponent
-4.99967	 0.000921839
-4.99633	 0.000794017
-4.993	 0.000973605
-4.98967	 0.000930656
-4.98633	 0.000936877
-4.983	 0.000983217
-4.97967	 0.00112378
-4.97633	 0.00112081
-4.973	 0.00105881
-4.96967	 0.00122646
-4.96634	 0.00115974
-4.963	 0.00112388
-4.95967	 0.000987036
-4.95634	 0.00109368
-4.953	 0.00103717
-4.94967	 0.0010866
-4.94634	 0.00103696
-4.943	 0.00110842
-4.93967	 0.00097217
-4.93634	 0.00117702
-4.933	 0.00139461
-4.92967	 0.00123121
-4.92634	 0.00117024
-4.92301	 0.00113724
-4.91967	 0.00130577
-4.91634	 0.00143991
-4.91301	 0.00121073
-4.90967	 0.0011195
-4.90634	 0.00104407
-4.90301	 0.00137936
-4.89967	 0.000868476
-4.89634	 0.00141109
-4.89301	 0.000924003
-4.88967	 0.00156813
-4.88634	 0.00119618
-4.88301	 0.00127514
-4.87967	 0.00132633
-4.87634	 0.00155405
-4.87301	 0.00148665
-4.86968	 0.00093116
-4.86634	 0.00155144
-4.86301	 0.00125212
-4.85968	 0.00128633
-4.85634	 0.0012362
-4.85301	 0.00110516
-4.84968	 0.00156052
-4.84634	 0.00125819
-4.84301	 0.00130544
-4.83968	 0.00117748
-4.83634	 0.00161876
-4.83301	 0.0011829
-4.82968	 0.00144789
-4.82634	 0.00147976
-4.82301	 0.00134897
-4.81968	 0.00128292
-4.81635	 0.00155042
-4.81301	 0.00137213
-4.80968	 0.00143654
-4.80635	 0.00144104
-4.80301	 0.00102728
-4.79968	 0.00132882
-4.79635	 0.00143427
-4.79301	 0.00106961
-4.78968	 0.00100358
-4.78635	 0.00122232
-4.78301	 0.00125997
-4.77968	 0.00127805
-4.77635	 0.00105377
-4.77302	 0.000935794
-4.76968	 0.00128864
-4.76635	 0.000816297
-4.76302	 0.00138968
-4.75968	 0.00135361
-4.75635	 0.00125673
-4.75302	 0.0014311
-4.74968	 0.00124738
-4.74635	 0.00107164
-4.74302	 0.000963683
-4.73968	 0.0010182
-4.73635	 0.0012596
-4.73302	 0.000893775
-4.72968	 0.00127429
-4.72635	 0.00120699
-4.72302	 0.000809578
-4.71969	 0.000815312
-4.71635	 0.00104151
-4.71302	 0.00117159
-4.70969	 0.000900122
-4.70635	 0.000875508
-4.70302	 0.000853169
-4.69969	 0.00103214
-4.69635	 0.000839333
-4.69302	 0.00104519
-4.68969	 0.000745912
-4.68635	 0.000808407
-4.68302	 0.000871657
-4.67969	 0.000914905
-4.67635	 0.000882015
-4.67302	 0.000936825
-4.66969	 0.000719814
-4.66636	 0.000871688
-4.66302	 0.000836013
-4.65969	 0.000737952
-4.65636	 0.000810157
-4.65302	 0.000830517
-4.64969	 0.000986523
-4.64636	 0.000667995
-4.64302	 0.00079718
-4.63969	 0.000724626
-4.63636	 0.000643877
-4.63302	 0.00064861
-4.62969	 0.000626358
-4.62636	 0.000710928
-4.62303	 0.000830411
-4.61969	 0.000654757
-4.61636	 0.000645392
-4.61303	 0.000694917
-4.60969	 0.0005707
-4.60636	 0.000758469
-4.60303	 0.000767363
-4.59969	 0.000633301
-4.59636	 0.000540632
-4.59303	 0.000560732
-4.58969	 0.000732266
-4.58636	 0.000773575
-4.58303	 0.000568408
-4.57969	 0.000810252
-4.57636	 0.000674649
-4.57303	 0.000657055
-4.5697	 0.000641872
-4.56636	 0.000510392
-4.56303	 0.000584731
-4.5597	 0.00055665
-4.55636	 0.000565198
-4.55303	 0.000594839
