# Delay[ns]	Correlation 	
-150	0.9985
-149.995	0.998522
-149.99	0.998613
-149.985	0.998517
-149.98	0.998548
-149.975	0.998635
-149.97	0.998768
-149.965	0.998879
-149.96	0.999037
-149.955	0.999166
-149.95	0.999272
-149.945	0.999246
-149.94	0.99924
-149.935	0.99927
-149.93	0.999554
-149.925	0.999896
-149.92	1.00018
-149.915	1.00042
-149.91	1.00075
-149.905	1.00103
-149.9	1.00125
-149.895	1.00142
-149.89	1.00139
-149.885	1.00134
-149.88	1.00131
-149.875	1.00137
-149.87	1.00138
-149.865	1.00139
-149.86	1.00145
-149.855	1.00148
-149.85	1.00152
-149.845	1.00163
-149.84	1.00179
-149.835	1.0018
-149.83	1.0019
-149.825	1.002
-149.82	1.00214
-149.815	1.00215
-149.81	1.00212
-149.805	1.00208
-149.8	1.00195
-149.795	1.0019
-149.79	1.00169
-149.785	1.00138
-149.78	1.00077
-149.775	1.00032
-149.77	0.999985
-149.765	0.999708
-149.76	0.999487
-149.755	0.999324
-149.75	0.999186
-149.745	0.999094
-149.74	0.999061
-149.735	0.998964
-149.73	0.999044
-149.725	0.999335
-149.72	0.999614
-149.715	1.0001
-149.71	1.00086
-149.705	1.00146
-149.7	1.0018
-149.695	1.00194
-149.69	1.0019
-149.685	1.00187
-149.68	1.00172
-149.675	1.00148
-149.67	1.00143
-149.665	1.00144
-149.66	1.00145
-149.655	1.00152
-149.65	1.00158
-149.645	1.00165
-149.64	1.00177
-149.635	1.00196
-149.63	1.00213
-149.625	1.00208
-149.62	1.002
-149.615	1.00193
-149.61	1.00198
-149.605	1.00214
-149.6	1.00228
-149.595	1.00242
-149.59	1.00229
-149.585	1.00208
-149.58	1.00178
-149.575	1.00161
-149.57	1.00143
-149.565	1.00123
-149.56	1.00103
-149.555	1.00092
-149.55	1.00083
-149.545	1.00068
-149.54	1.00059
-149.535	1.00055
-149.53	1.00061
-149.525	1.00067
-149.52	1.00069
-149.515	1.0008
-149.51	1.00076
-149.505	1.00067
-149.5	1.00054
-149.495	1.00058
-149.49	1.00069
-149.485	1.00067
-149.48	1.00067
-149.475	1.00058
-149.47	1.0004
-149.465	1.00037
-149.46	1.00033
-149.455	1.00029
-149.45	1.00028
-149.445	1.0001
-149.44	0.999763
-149.435	0.999363
-149.43	0.999092
-149.425	0.998861
-149.42	0.998531
-149.415	0.998204
-149.41	0.997989
-149.405	0.997782
-149.4	0.997727
-149.395	0.997883
-149.39	0.998027
-149.385	0.998295
-149.38	0.998601
-149.375	0.998935
-149.37	0.999217
-149.365	0.999538
-149.36	0.999853
-149.355	1.00023
-149.35	1.0007
-149.345	1.00124
-149.34	1.00174
-149.335	1.00225
-149.33	1.00257
-149.325	1.00271
-149.32	1.00289
-149.315	1.00308
-149.31	1.00317
-149.305	1.00309
-149.3	1.003
-149.295	1.00297
-149.29	1.00284
-149.285	1.00261
-149.28	1.00227
-149.275	1.00193
-149.27	1.00161
-149.265	1.00157
-149.26	1.00158
-149.255	1.00167
-149.25	1.0017
-149.245	1.00156
-149.24	1.00128
-149.235	1.00102
-149.23	1.00061
-149.225	1.00024
-149.22	1.00014
-149.215	1.00007
-149.21	0.999897
-149.205	0.999566
-149.2	0.999216
-149.195	0.998859
-149.19	0.998544
-149.185	0.998332
-149.18	0.998195
-149.175	0.998123
-149.17	0.99808
-149.165	0.998142
-149.16	0.998387
-149.155	0.998698
-149.15	0.999111
-149.145	0.999362
-149.14	0.999529
-149.135	0.999772
-149.13	1.00001
-149.125	1.00018
-149.12	1.00021
-149.115	1.0003
-149.11	1.00028
-149.105	1.00021
-149.1	1.00015
-149.095	1.00011
-149.09	0.999911
-149.085	0.999624
-149.08	0.999379
-149.075	0.999271
-149.07	0.999291
-149.065	0.999336
-149.06	0.999431
-149.055	0.999672
-149.05	1.00003
-149.045	1.00033
-149.04	1.00058
-149.035	1.00077
-149.03	1.00099
-149.025	1.00122
-149.02	1.00145
-149.015	1.00157
-149.01	1.00145
-149.005	1.00131
-149	1.00122
-148.995	1.00114
-148.99	1.00113
-148.985	1.0009
-148.98	1.00072
-148.975	1.00053
-148.97	1.0004
-148.965	1.00024
-148.96	1.0002
-148.955	1.00013
-148.95	0.99999
-148.945	0.999863
-148.94	0.9996
-148.935	0.999454
-148.93	0.999385
-148.925	0.999197
-148.92	0.999124
-148.915	0.999115
-148.91	0.999127
-148.905	0.999224
-148.9	0.999487
-148.895	0.999615
-148.89	0.999741
-148.885	0.999727
-148.88	0.999643
-148.875	0.999479
-148.87	0.999324
-148.865	0.999245
-148.86	0.999223
-148.855	0.999325
-148.85	0.999501
-148.845	0.999722
-148.84	0.999883
-148.835	1.00007
-148.83	1.00029
-148.825	1.00059
-148.82	1.00087
-148.815	1.00115
-148.81	1.00131
-148.805	1.00135
-148.8	1.00145
-148.795	1.00159
-148.79	1.00166
-148.785	1.00169
-148.78	1.0016
-148.775	1.00148
-148.77	1.00133
-148.765	1.0013
-148.76	1.00129
-148.755	1.00123
-148.75	1.00125
-148.745	1.0014
-148.74	1.00158
-148.735	1.00185
-148.73	1.00206
-148.725	1.00206
-148.72	1.00198
-148.715	1.00165
-148.71	1.00121
-148.705	1.00086
-148.7	1.00078
-148.695	1.00074
-148.69	1.00066
-148.685	1.00055
-148.68	1.00038
-148.675	1.00016
-148.67	0.999881
-148.665	0.999544
-148.66	0.999142
-148.655	0.998934
-148.65	0.998776
-148.645	0.998833
-148.64	0.999014
-148.635	0.999174
-148.63	0.99946
-148.625	0.999517
-148.62	0.99951
-148.615	0.999568
-148.61	0.999555
-148.605	0.999527
-148.6	0.999296
-148.595	0.999219
-148.59	0.999368
-148.585	0.999531
-148.58	0.999751
-148.575	0.99995
-148.57	1.00003
-148.565	1.00003
-148.56	0.999954
-148.555	0.999885
-148.55	0.999936
-148.545	0.999941
-148.54	0.999898
-148.535	0.999869
-148.53	1.0002
-148.525	1.00075
-148.52	1.00133
-148.515	1.00172
-148.51	1.00212
-148.505	1.00239
-148.5	1.0026
-148.495	1.00268
-148.49	1.00268
-148.485	1.00272
-148.48	1.00263
-148.475	1.00246
-148.47	1.00227
-148.465	1.00206
-148.46	1.00188
-148.455	1.00178
-148.45	1.00179
-148.445	1.00184
-148.44	1.00189
-148.435	1.00181
-148.43	1.00163
-148.425	1.00156
-148.42	1.00165
-148.415	1.00167
-148.41	1.00172
-148.405	1.00166
-148.4	1.00158
-148.395	1.00146
-148.39	1.00118
-148.385	1.00079
-148.38	1.00027
-148.375	0.99977
-148.37	0.999457
-148.365	0.999253
-148.36	0.999141
-148.355	0.999077
-148.35	0.999149
-148.345	0.999377
-148.34	0.999678
-148.335	1.00001
-148.33	1.00028
-148.325	1.00058
-148.32	1.00065
-148.315	1.00052
-148.31	1.00044
-148.305	1.00036
-148.3	1.00021
-148.295	1.0001
-148.29	1.00003
-148.285	1.00024
-148.28	1.00037
-148.275	1.00031
-148.27	1.00034
-148.265	1.00037
-148.26	1.00037
-148.255	1.00033
-148.25	1.00026
-148.245	1.00008
-148.24	0.999923
-148.235	0.999933
-148.23	0.999987
-148.225	0.999936
-148.22	0.999866
-148.215	0.99992
-148.21	0.999983
-148.205	1.0002
-148.2	1.0003
-148.195	1.00039
-148.19	1.00038
-148.185	1.00048
-148.18	1.00052
-148.175	1.00042
-148.17	1.00023
-148.165	1.00006
-148.16	0.999973
-148.155	1.00006
-148.15	1.00031
-148.145	1.00046
-148.14	1.00053
-148.135	1.00058
-148.13	1.00059
-148.125	1.00062
-148.12	1.00063
-148.115	1.00053
-148.11	1.00042
-148.105	1.00039
-148.1	1.00038
-148.095	1.00037
-148.09	1.00021
-148.085	0.999925
-148.08	0.999555
-148.075	0.999196
-148.07	0.998873
-148.065	0.998771
-148.06	0.998839
-148.055	0.998823
-148.05	0.998771
-148.045	0.998716
-148.04	0.99879
-148.035	0.998801
-148.03	0.99884
-148.025	0.999037
-148.02	0.999313
-148.015	0.999439
-148.01	0.99944
-148.005	0.999301
-148	0.999289
-147.995	0.999203
-147.99	0.999092
-147.985	0.999135
-147.98	0.999312
-147.975	0.999378
-147.97	0.999396
-147.965	0.99937
-147.96	0.999352
-147.955	0.999294
-147.95	0.999247
-147.945	0.999428
-147.94	0.999597
-147.935	0.99975
-147.93	0.999928
-147.925	1.00011
-147.92	1.00048
-147.915	1.0009
-147.91	1.00126
-147.905	1.00162
-147.9	1.00189
-147.895	1.00211
-147.89	1.00217
-147.885	1.00219
-147.88	1.00199
-147.875	1.00173
-147.87	1.00148
-147.865	1.00121
-147.86	1.00098
-147.855	1.00079
-147.85	1.00051
-147.845	1.00023
-147.84	0.999931
-147.835	0.999592
-147.83	0.99933
-147.825	0.999382
-147.82	0.999399
-147.815	0.999594
-147.81	0.999862
-147.805	0.999985
-147.8	0.999953
-147.795	0.999889
-147.79	0.999755
-147.785	0.999695
-147.78	0.999834
-147.775	1.00011
-147.77	1.00027
-147.765	1.0003
-147.76	1.0003
-147.755	1.00026
-147.75	1.0004
-147.745	1.00057
-147.74	1.00061
-147.735	1.00058
-147.73	1.0006
-147.725	1.00056
-147.72	1.00065
-147.715	1.00075
-147.71	1.00071
-147.705	1.00059
-147.7	1.00061
-147.695	1.00059
-147.69	1.00051
-147.685	1.00029
-147.68	1.00015
-147.675	1.00016
