# Delay[ns]	Correlation 	
-150	0.999994
-149.995	0.999994
-149.99	0.999996
-149.985	0.999997
-149.98	0.999999
-149.975	1
-149.97	1
-149.965	1
-149.96	0.999997
-149.955	0.999994
-149.95	0.99999
-149.945	0.999983
-149.94	0.999977
-149.935	0.999971
-149.93	0.999966
-149.925	0.999969
-149.92	0.999974
-149.915	0.999977
-149.91	0.999976
-149.905	0.999974
-149.9	0.999971
-149.895	0.999969
-149.89	0.99997
-149.885	0.99997
-149.88	0.999975
-149.875	0.999982
-149.87	0.999992
-149.865	1
-149.86	1.00001
-149.855	1.00002
-149.85	1.00002
-149.845	1.00003
-149.84	1.00003
-149.835	1.00004
-149.83	1.00004
-149.825	1.00005
-149.82	1.00005
-149.815	1.00005
-149.81	1.00004
-149.805	1.00003
-149.8	1.00003
-149.795	1.00002
-149.79	1.00002
-149.785	1.00001
-149.78	1
-149.775	0.999994
-149.77	0.999989
-149.765	0.999985
-149.76	0.999982
-149.755	0.999979
-149.75	0.99998
-149.745	0.999985
-149.74	0.999988
-149.735	0.999992
-149.73	0.999994
-149.725	0.999994
-149.72	0.999993
-149.715	0.99999
-149.71	0.999989
-149.705	0.999991
-149.7	0.999992
-149.695	0.999994
-149.69	0.999998
-149.685	1
-149.68	1
-149.675	1
-149.67	1.00001
-149.665	1.00001
-149.66	1
-149.655	0.999997
-149.65	0.999998
-149.645	1
-149.64	1
-149.635	1
-149.63	1
-149.625	1
-149.62	1
-149.615	0.999999
-149.61	0.999995
-149.605	0.999996
-149.6	0.999996
-149.595	0.999996
-149.59	0.999995
-149.585	0.999993
-149.58	0.999995
-149.575	0.999996
-149.57	0.999995
-149.565	0.999991
-149.56	0.999989
-149.555	0.999991
-149.55	0.999991
-149.545	0.999989
-149.54	0.999986
-149.535	0.999982
-149.53	0.99998
-149.525	0.999977
-149.52	0.999974
-149.515	0.999972
-149.51	0.999969
-149.505	0.999968
-149.5	0.99997
-149.495	0.999976
-149.49	0.999979
-149.485	0.99998
-149.48	0.999989
-149.475	0.999998
-149.47	1
-149.465	1.00001
-149.46	1.00001
-149.455	1.00001
-149.45	1.00001
-149.445	1.00001
-149.44	1
-149.435	1
-149.43	1.00001
-149.425	1.00001
-149.42	1.00001
-149.415	1.00001
-149.41	1.00001
-149.405	1.00002
-149.4	1.00002
-149.395	1.00002
-149.39	1.00003
-149.385	1.00003
-149.38	1.00003
-149.375	1.00004
-149.37	1.00004
-149.365	1.00004
-149.36	1.00004
-149.355	1.00004
-149.35	1.00003
-149.345	1.00002
-149.34	1.00001
-149.335	1
-149.33	0.999997
-149.325	0.999987
-149.32	0.999975
-149.315	0.999964
-149.31	0.999953
-149.305	0.999946
-149.3	0.999943
-149.295	0.999944
-149.29	0.999948
-149.285	0.999955
-149.28	0.999961
-149.275	0.999963
-149.27	0.999964
-149.265	0.999967
-149.26	0.999969
-149.255	0.999973
-149.25	0.999981
-149.245	0.999992
-149.24	1.00001
