# Frequency [GHz] 	Fouriercomponent
-4.99967	 0.338464
-4.99633	 0.481846
-4.993	 0.48404
-4.98967	 0.560578
-4.98633	 0.491231
-4.983	 0.493117
-4.97967	 0.397107
-4.97633	 0.441784
-4.973	 0.560896
-4.96967	 0.447409
-4.96634	 0.576525
-4.963	 0.521908
-4.95967	 0.582499
-4.95634	 0.547241
-4.953	 0.447745
-4.94967	 0.446214
-4.94634	 0.586501
-4.943	 0.593203
-4.93967	 0.630508
-4.93634	 0.473211
-4.933	 0.317443
-4.92967	 0.479305
-4.92634	 0.42106
-4.92301	 0.556439
-4.91967	 0.332349
-4.91634	 0.543407
-4.91301	 0.268015
-4.90967	 0.451531
-4.90634	 0.508762
-4.90301	 0.457089
-4.89967	 0.465442
-4.89634	 0.363573
-4.89301	 0.601671
-4.88967	 0.433511
-4.88634	 0.355082
-4.88301	 0.460178
-4.87967	 0.508959
-4.87634	 0.653138
-4.87301	 0.525703
-4.86968	 0.40732
-4.86634	 0.617131
-4.86301	 0.363882
-4.85968	 0.464761
-4.85634	 0.306338
-4.85301	 0.396871
-4.84968	 0.553055
-4.84634	 0.385082
-4.84301	 0.493255
-4.83968	 0.455165
-4.83634	 0.368162
-4.83301	 0.420432
-4.82968	 0.426965
-4.82634	 0.473979
-4.82301	 0.348413
-4.81968	 0.572129
-4.81635	 0.391178
-4.81301	 0.527236
-4.80968	 0.476301
-4.80635	 0.476813
-4.80301	 0.579201
-4.79968	 0.401112
-4.79635	 0.478925
-4.79301	 0.443907
-4.78968	 0.445283
-4.78635	 0.919652
-4.78301	 0.412856
-4.77968	 0.422692
-4.77635	 0.54946
-4.77302	 0.481862
-4.76968	 0.631419
-4.76635	 0.542073
-4.76302	 0.406905
-4.75968	 0.403205
-4.75635	 0.390208
-4.75302	 0.535227
-4.74968	 0.454885
-4.74635	 0.522999
-4.74302	 0.479063
-4.73968	 0.607774
-4.73635	 0.572069
-4.73302	 0.292924
-4.72968	 0.45594
-4.72635	 0.472884
-4.72302	 0.528542
-4.71969	 0.530617
-4.71635	 0.350859
-4.71302	 0.440833
-4.70969	 0.536979
-4.70635	 0.540664
-4.70302	 0.435833
-4.69969	 0.284544
-4.69635	 0.41515
-4.69302	 0.494681
-4.68969	 0.625467
-4.68635	 0.516154
-4.68302	 0.490394
-4.67969	 0.545267
-4.67635	 0.50805
-4.67302	 0.427675
-4.66969	 0.716112
-4.66636	 0.388391
-4.66302	 0.355387
-4.65969	 0.424306
-4.65636	 0.38263
-4.65302	 0.532762
-4.64969	 0.353272
-4.64636	 0.546691
-4.64302	 0.350278
