# Delay[ns]	Correlation 	
-150	1.00008
-149.995	1.00007
-149.99	1.00006
-149.985	1.00005
-149.98	1.00004
-149.975	1.00003
-149.97	1.00001
-149.965	1.00001
-149.96	1
-149.955	0.999999
-149.95	0.999999
-149.945	0.999997
-149.94	0.999991
-149.935	0.999985
-149.93	0.99998
-149.925	0.999979
-149.92	0.999977
-149.915	0.999978
-149.91	0.999979
-149.905	0.999981
-149.9	0.999976
-149.895	0.999969
-149.89	0.999964
-149.885	0.999958
-149.88	0.999955
-149.875	0.999955
-149.87	0.999958
-149.865	0.999955
-149.86	0.999951
-149.855	0.99995
-149.85	0.999948
-149.845	0.999951
-149.84	0.999956
-149.835	0.999962
-149.83	0.999968
-149.825	0.99998
-149.82	0.999993
-149.815	1
-149.81	1.00001
-149.805	1.00003
-149.8	1.00004
-149.795	1.00005
-149.79	1.00006
-149.785	1.00007
-149.78	1.00007
-149.775	1.00006
-149.77	1.00005
-149.765	1.00004
-149.76	1.00002
-149.755	1
-149.75	0.999994
-149.745	0.999987
-149.74	0.99998
-149.735	0.999975
-149.73	0.999973
-149.725	0.999973
-149.72	0.999971
-149.715	0.999968
-149.71	0.999961
-149.705	0.999956
-149.7	0.999959
-149.695	0.999963
-149.69	0.999969
-149.685	0.999976
-149.68	0.99998
-149.675	0.999982
-149.67	0.999986
-149.665	0.999991
-149.66	0.999997
-149.655	1
-149.65	1.00001
-149.645	1.00001
-149.64	1.00002
-149.635	1.00002
-149.63	1.00003
-149.625	1.00004
-149.62	1.00005
-149.615	1.00006
-149.61	1.00007
-149.605	1.00007
-149.6	1.00008
-149.595	1.00008
-149.59	1.00007
-149.585	1.00006
-149.58	1.00005
-149.575	1.00004
-149.57	1.00002
-149.565	1
-149.56	0.999984
-149.555	0.999973
-149.55	0.999964
-149.545	0.999962
-149.54	0.999962
-149.535	0.999965
-149.53	0.999969
-149.525	0.999975
-149.52	0.99998
-149.515	0.999984
-149.51	0.999988
-149.505	0.999995
-149.5	1
-149.495	1
-149.49	1
-149.485	1.00001
-149.48	1.00002
-149.475	1.00003
-149.47	1.00004
-149.465	1.00004
-149.46	1.00004
-149.455	1.00003
-149.45	1.00002
-149.445	1.00002
-149.44	1.00002
-149.435	1.00002
-149.43	1.00002
-149.425	1.00003
-149.42	1.00003
-149.415	1.00003
-149.41	1.00003
-149.405	1.00003
-149.4	1.00003
-149.395	1.00002
-149.39	1.00002
-149.385	1
-149.38	0.999992
-149.375	0.999981
-149.37	0.999971
-149.365	0.999966
-149.36	0.999965
-149.355	0.999967
-149.35	0.999971
-149.345	0.999972
-149.34	0.999972
-149.335	0.999972
-149.33	0.999975
-149.325	0.999981
-149.32	0.999984
-149.315	0.99998
-149.31	0.999972
-149.305	0.999968
-149.3	0.999969
-149.295	0.999972
-149.29	0.999979
-149.285	0.999984
-149.28	0.999991
-149.275	0.999996
-149.27	1
-149.265	1.00001
-149.26	1.00001
-149.255	1.00001
-149.25	1.00001
-149.245	1.00001
-149.24	1.00001
-149.235	1.00001
-149.23	1.00001
-149.225	1.00001
-149.22	1.00001
-149.215	1.00001
-149.21	1.00002
-149.205	1.00002
-149.2	1.00002
-149.195	1.00003
-149.19	1.00003
-149.185	1.00004
-149.18	1.00005
-149.175	1.00005
-149.17	1.00006
-149.165	1.00006
-149.16	1.00006
-149.155	1.00006
-149.15	1.00005
-149.145	1.00005
-149.14	1.00004
-149.135	1.00003
-149.13	1.00001
-149.125	1.00001
-149.12	1
-149.115	1
-149.11	1
-149.105	0.999999
-149.1	0.999998
-149.095	0.999996
-149.09	0.999991
-149.085	0.999984
-149.08	0.999977
-149.075	0.999972
-149.07	0.999971
-149.065	0.999968
-149.06	0.999965
-149.055	0.999963
-149.05	0.99996
-149.045	0.999958
-149.04	0.999964
-149.035	0.999974
-149.03	0.999981
-149.025	0.999992
-149.02	1.00001
-149.015	1.00002
-149.01	1.00004
-149.005	1.00005
-149	1.00006
-148.995	1.00007
-148.99	1.00007
-148.985	1.00007
-148.98	1.00007
-148.975	1.00007
-148.97	1.00005
-148.965	1.00004
-148.96	1.00002
-148.955	1.00001
-148.95	0.999998
-148.945	0.999989
-148.94	0.999983
-148.935	0.999974
-148.93	0.999967
-148.925	0.999962
-148.92	0.999957
-148.915	0.99995
-148.91	0.999944
-148.905	0.999935
-148.9	0.999933
-148.895	0.999929
-148.89	0.999929
-148.885	0.999934
-148.88	0.999943
-148.875	0.999952
-148.87	0.999958
-148.865	0.999958
-148.86	0.99996
-148.855	0.999968
-148.85	0.999978
-148.845	0.999991
-148.84	1
-148.835	1.00001
-148.83	1.00002
-148.825	1.00002
-148.82	1.00003
-148.815	1.00004
-148.81	1.00005
-148.805	1.00006
-148.8	1.00007
-148.795	1.00007
-148.79	1.00008
-148.785	1.00008
-148.78	1.00007
-148.775	1.00006
-148.77	1.00005
-148.765	1.00004
-148.76	1.00003
-148.755	1.00002
-148.75	1
-148.745	0.999981
-148.74	0.999967
-148.735	0.999955
-148.73	0.99995
-148.725	0.99995
-148.72	0.999952
-148.715	0.999955
-148.71	0.99996
-148.705	0.999968
-148.7	0.999981
-148.695	0.999995
-148.69	1.00001
-148.685	1.00002
-148.68	1.00003
-148.675	1.00003
-148.67	1.00004
-148.665	1.00005
-148.66	1.00005
-148.655	1.00005
-148.65	1.00005
-148.645	1.00005
-148.64	1.00004
-148.635	1.00003
-148.63	1.00003
-148.625	1.00002
-148.62	1.00001
-148.615	1.00001
-148.61	0.999999
-148.605	0.999996
-148.6	0.999995
-148.595	0.999994
-148.59	0.999994
-148.585	0.999993
-148.58	0.999992
-148.575	0.99999
-148.57	0.999987
-148.565	0.999983
-148.56	0.999977
-148.555	0.999971
-148.55	0.999967
-148.545	0.999968
-148.54	0.999969
-148.535	0.999972
-148.53	0.999977
-148.525	0.999986
-148.52	0.999992
-148.515	0.999998
-148.51	1.00001
-148.505	1.00001
-148.5	1
-148.495	0.999997
-148.49	0.999992
-148.485	0.999985
-148.48	0.99998
-148.475	0.999977
-148.47	0.999973
-148.465	0.999971
-148.46	0.999971
-148.455	0.99997
-148.45	0.99997
-148.445	0.999969
-148.44	0.999969
-148.435	0.999969
-148.43	0.999969
-148.425	0.999971
-148.42	0.999977
-148.415	0.999986
-148.41	1
-148.405	1.00002
-148.4	1.00004
-148.395	1.00005
-148.39	1.00006
-148.385	1.00006
-148.38	1.00006
-148.375	1.00006
-148.37	1.00006
-148.365	1.00005
-148.36	1.00005
-148.355	1.00005
-148.35	1.00004
-148.345	1.00004
-148.34	1.00004
-148.335	1.00004
-148.33	1.00004
-148.325	1.00004
-148.32	1.00003
-148.315	1.00003
-148.31	1.00002
-148.305	1.00002
-148.3	1.00002
-148.295	1.00003
-148.29	1.00003
-148.285	1.00003
-148.28	1.00002
-148.275	1.00002
-148.27	1.00001
-148.265	0.999999
-148.26	0.999994
-148.255	0.999989
-148.25	0.999985
-148.245	0.999978
-148.24	0.99997
-148.235	0.999965
-148.23	0.999962
-148.225	0.99996
-148.22	0.999962
-148.215	0.999968
-148.21	0.999978
-148.205	0.999993
-148.2	1.00001
-148.195	1.00002
-148.19	1.00003
-148.185	1.00004
-148.18	1.00005
-148.175	1.00006
-148.17	1.00006
-148.165	1.00005
-148.16	1.00004
-148.155	1.00003
-148.15	1.00001
-148.145	0.999994
-148.14	0.999979
-148.135	0.999967
-148.13	0.999956
-148.125	0.999952
-148.12	0.999951
-148.115	0.999952
-148.11	0.999952
-148.105	0.999949
-148.1	0.999944
-148.095	0.999935
-148.09	0.999925
-148.085	0.999919
-148.08	0.99992
-148.075	0.999923
-148.07	0.999923
-148.065	0.999922
-148.06	0.999922
-148.055	0.999924
-148.05	0.99993
-148.045	0.99994
-148.04	0.999953
-148.035	0.999963
-148.03	0.999976
-148.025	0.99999
-148.02	1
-148.015	1.00001
-148.01	1.00002
-148.005	1.00003
-148	1.00003
-147.995	1.00003
-147.99	1.00004
-147.985	1.00005
-147.98	1.00005
-147.975	1.00005
-147.97	1.00005
-147.965	1.00004
-147.96	1.00003
-147.955	1.00002
-147.95	1.00001
-147.945	0.999996
-147.94	0.999987
-147.935	0.999975
-147.93	0.999963
-147.925	0.999952
-147.92	0.999948
-147.915	0.999947
-147.91	0.999947
-147.905	0.999945
-147.9	0.999946
-147.895	0.999954
-147.89	0.999963
-147.885	0.999971
-147.88	0.999982
-147.875	0.999997
-147.87	1.00001
-147.865	1.00002
-147.86	1.00003
-147.855	1.00004
-147.85	1.00004
-147.845	1.00003
-147.84	1.00003
-147.835	1.00002
-147.83	1.00002
-147.825	1.00002
-147.82	1.00002
-147.815	1.00002
-147.81	1.00002
-147.805	1.00001
-147.8	1.00001
-147.795	1.00001
-147.79	1.00001
-147.785	1.00001
-147.78	1
-147.775	0.999997
-147.77	0.99999
-147.765	0.999985
-147.76	0.999981
-147.755	0.999974
-147.75	0.999969
-147.745	0.999968
-147.74	0.999972
-147.735	0.999979
-147.73	0.999983
-147.725	0.999983
-147.72	0.999985
-147.715	0.99999
-147.71	0.999997
-147.705	1
-147.7	1
-147.695	1.00001
-147.69	1
-147.685	1
-147.68	0.999996
-147.675	0.999995
-147.67	0.999995
-147.665	0.999996
-147.66	0.999996
-147.655	0.999996
