# Delay[ns]	Correlation 	
-150	0.99997
-149.995	0.999776
-149.99	0.999609
-149.985	0.999433
-149.98	0.999334
-149.975	0.999297
-149.97	0.999335
-149.965	0.999492
-149.96	0.99962
-149.955	0.999722
-149.95	0.999914
-149.945	1.00011
-149.94	1.00013
-149.935	1.00018
-149.93	1.00025
-149.925	1.00006
-149.92	0.999856
-149.915	0.999622
-149.91	0.999321
-149.905	0.999189
-149.9	0.999203
-149.895	0.999137
-149.89	0.999202
-149.885	0.999249
-149.88	0.99931
-149.875	0.999364
-149.87	0.999336
-149.865	0.999339
-149.86	0.999339
-149.855	0.999388
-149.85	0.999408
-149.845	0.999581
-149.84	0.999803
-149.835	0.999959
-149.83	0.999978
-149.825	1.00003
-149.82	1.00011
-149.815	1.00016
-149.81	1.00031
-149.805	1.00057
-149.8	1.00079
-149.795	1.00101
-149.79	1.00112
-149.785	1.00117
-149.78	1.00118
-149.775	1.00119
-149.77	1.00114
-149.765	1.001
-149.76	1.00079
-149.755	1.00068
-149.75	1.00066
-149.745	1.00075
-149.74	1.00073
-149.735	1.00075
-149.73	1.00076
-149.725	1.00072
-149.72	1.00055
-149.715	1.00036
-149.71	1.00025
-149.705	1.00007
-149.7	0.999953
-149.695	1
-149.69	1.00022
-149.685	1.00035
-149.68	1.00031
-149.675	1.0002
-149.67	1.00013
-149.665	1.00006
-149.66	0.999985
-149.655	1.00004
-149.65	1.00021
-149.645	1.00032
-149.64	1.00015
-149.635	1.00003
-149.63	1.00005
-149.625	1.00001
-149.62	0.999814
-149.615	0.999611
-149.61	0.999608
-149.605	0.999653
-149.6	0.999644
-149.595	0.999619
-149.59	0.999652
-149.585	0.999496
-149.58	0.999326
-149.575	0.999323
-149.57	0.999216
-149.565	0.999024
-149.56	0.999156
-149.555	0.999452
-149.55	0.999633
-149.545	0.999625
-149.54	0.999707
-149.535	0.999599
-149.53	0.999531
-149.525	0.999551
-149.52	0.999548
-149.515	0.999478
-149.51	0.999402
-149.505	0.999359
-149.5	0.999378
-149.495	0.999513
-149.49	0.999608
-149.485	0.999602
-149.48	0.999593
-149.475	0.99945
-149.47	0.999202
-149.465	0.999098
-149.46	0.999158
-149.455	0.999091
-149.45	0.999105
-149.445	0.999353
-149.44	0.999618
-149.435	0.999788
-149.43	0.99984
-149.425	0.999958
-149.42	1.00008
-149.415	1.00009
-149.41	1.00002
-149.405	0.999753
-149.4	0.999473
-149.395	0.999104
-149.39	0.998885
-149.385	0.998632
-149.38	0.998429
-149.375	0.99851
-149.37	0.998776
-149.365	0.99894
-149.36	0.999106
-149.355	0.999317
-149.35	0.999581
-149.345	0.999789
-149.34	0.999905
-149.335	1.00005
-149.33	1.00002
-149.325	0.999925
-149.32	0.999861
-149.315	0.999712
-149.31	0.999526
-149.305	0.999405
-149.3	0.999472
-149.295	0.999595
-149.29	0.999518
-149.285	0.999542
-149.28	0.999656
-149.275	0.999802
-149.27	1.00001
-149.265	1.00025
-149.26	1.00038
-149.255	1.00049
-149.25	1.00078
-149.245	1.00112
-149.24	1.00146
-149.235	1.0016
-149.23	1.00172
-149.225	1.00179
-149.22	1.00189
-149.215	1.00193
-149.21	1.00185
-149.205	1.00176
-149.2	1.00157
-149.195	1.00149
-149.19	1.00138
-149.185	1.00134
-149.18	1.00123
-149.175	1.00113
-149.17	1.00111
-149.165	1.00104
-149.16	1.00105
-149.155	1.00102
-149.15	1.00101
-149.145	1.00103
-149.14	1.00096
-149.135	1.00091
-149.13	1.00099
-149.125	1.00125
-149.12	1.0015
-149.115	1.00154
-149.11	1.00145
-149.105	1.00122
-149.1	1.00088
-149.095	1.00055
-149.09	1.00031
-149.085	1.00013
-149.08	1.00008
-149.075	0.999994
-149.07	1
-149.065	0.999911
-149.06	0.999768
-149.055	0.999703
-149.05	0.999601
-149.045	0.999349
-149.04	0.999117
-149.035	0.999072
-149.03	0.998968
-149.025	0.998988
-149.02	0.999059
-149.015	0.999163
-149.01	0.999327
-149.005	0.999456
-149	0.999727
-148.995	1.0001
-148.99	1.00058
-148.985	1.00104
-148.98	1.00155
-148.975	1.00197
-148.97	1.00241
-148.965	1.00268
-148.96	1.00301
-148.955	1.00331
-148.95	1.00344
-148.945	1.00337
-148.94	1.00312
-148.935	1.00294
-148.93	1.00276
-148.925	1.00255
-148.92	1.00232
-148.915	1.00202
-148.91	1.00172
-148.905	1.00127
-148.9	1.00085
-148.895	1.00045
-148.89	1.00027
-148.885	1.00016
-148.88	0.999949
-148.875	0.999722
-148.87	0.999327
-148.865	0.999069
-148.86	0.998785
-148.855	0.998428
-148.85	0.998186
-148.845	0.998168
-148.84	0.998343
-148.835	0.998529
-148.83	0.998584
-148.825	0.998552
-148.82	0.998567
-148.815	0.998461
-148.81	0.998377
-148.805	0.998418
-148.8	0.998447
-148.795	0.99848
-148.79	0.998579
-148.785	0.998744
-148.78	0.998777
-148.775	0.998788
-148.77	0.998725
-148.765	0.998625
-148.76	0.998527
-148.755	0.998539
-148.75	0.998417
-148.745	0.998407
-148.74	0.998453
-148.735	0.998616
-148.73	0.998808
-148.725	0.998891
-148.72	0.999004
-148.715	0.998997
-148.71	0.998882
-148.705	0.998932
-148.7	0.998976
-148.695	0.998881
-148.69	0.998936
-148.685	0.999047
-148.68	0.999031
-148.675	0.999002
-148.67	0.999033
-148.665	0.999083
-148.66	0.999127
-148.655	0.999232
-148.65	0.999395
-148.645	0.99963
-148.64	0.999963
-148.635	1.00025
-148.63	1.00044
-148.625	1.00055
-148.62	1.00054
