# Delay[ns]	Correlation 	
-150	1.00001
-149.995	1.00001
-149.99	1.00001
-149.985	1.00001
-149.98	0.999999
-149.975	0.999992
-149.97	0.999983
-149.965	0.99997
-149.96	0.999955
-149.955	0.999945
-149.95	0.999936
-149.945	0.99993
-149.94	0.99993
-149.935	0.999934
-149.93	0.99994
-149.925	0.999947
-149.92	0.999952
-149.915	0.999957
-149.91	0.999968
-149.905	0.999982
-149.9	0.999994
-149.895	1.00001
-149.89	1.00002
-149.885	1.00004
-149.88	1.00004
-149.875	1.00004
-149.87	1.00004
-149.865	1.00004
-149.86	1.00003
-149.855	1.00003
-149.85	1.00003
-149.845	1.00002
-149.84	1.00002
-149.835	1.00002
-149.83	1.00002
-149.825	1.00002
-149.82	1.00002
-149.815	1.00002
-149.81	1.00003
-149.805	1.00004
-149.8	1.00004
-149.795	1.00005
-149.79	1.00004
-149.785	1.00003
-149.78	1.00002
-149.775	1.00001
-149.77	0.999999
-149.765	0.999991
-149.76	0.999982
-149.755	0.999978
-149.75	0.999975
-149.745	0.999976
-149.74	0.999981
-149.735	0.999985
-149.73	0.999984
-149.725	0.999982
-149.72	0.99998
-149.715	0.99998
-149.71	0.999984
-149.705	0.999994
-149.7	1.00001
-149.695	1.00002
-149.69	1.00003
-149.685	1.00005
-149.68	1.00005
-149.675	1.00005
-149.67	1.00005
-149.665	1.00004
-149.66	1.00003
-149.655	1.00002
-149.65	1.00001
-149.645	1.00001
-149.64	1.00001
-149.635	1
-149.63	1.00001
-149.625	1.00001
-149.62	1.00001
-149.615	1.00002
-149.61	1.00002
-149.605	1.00003
-149.6	1.00003
-149.595	1.00004
-149.59	1.00004
-149.585	1.00004
-149.58	1.00005
-149.575	1.00006
-149.57	1.00006
-149.565	1.00006
-149.56	1.00005
-149.555	1.00005
-149.55	1.00005
-149.545	1.00005
-149.54	1.00004
-149.535	1.00002
-149.53	1
-149.525	0.999986
-149.52	0.999976
-149.515	0.999967
-149.51	0.999959
-149.505	0.999956
-149.5	0.999956
-149.495	0.999958
-149.49	0.999966
-149.485	0.999975
-149.48	0.999985
-149.475	0.999996
-149.47	1
-149.465	1.00001
-149.46	1.00002
-149.455	1.00003
-149.45	1.00003
-149.445	1.00003
-149.44	1.00003
-149.435	1.00002
-149.43	1.00001
-149.425	1
-149.42	0.999998
-149.415	0.999996
-149.41	0.999992
-149.405	0.999992
-149.4	0.999997
-149.395	1
-149.39	1.00001
-149.385	1.00002
-149.38	1.00002
-149.375	1.00002
-149.37	1.00001
-149.365	1
-149.36	0.999995
-149.355	0.999986
-149.35	0.999982
-149.345	0.999985
-149.34	0.999991
-149.335	0.999997
-149.33	1
-149.325	1
-149.32	1
-149.315	1
-149.31	1
-149.305	0.999995
-149.3	0.999989
-149.295	0.99998
-149.29	0.999972
-149.285	0.999971
-149.28	0.999973
-149.275	0.999976
-149.27	0.999977
-149.265	0.99998
-149.26	0.999986
-149.255	0.999994
-149.25	1
-149.245	1.00001
-149.24	1
-149.235	1
-149.23	0.999998
-149.225	0.999993
-149.22	0.999991
-149.215	0.99999
-149.21	0.999991
-149.205	0.999989
-149.2	0.999992
-149.195	0.999996
-149.19	0.999998
-149.185	1
-149.18	0.999998
-149.175	0.999996
-149.17	0.999994
-149.165	0.999985
-149.16	0.999979
-149.155	0.999969
-149.15	0.999961
-149.145	0.999955
-149.14	0.999953
-149.135	0.999953
-149.13	0.999954
-149.125	0.999955
-149.12	0.999955
-149.115	0.99996
-149.11	0.999962
-149.105	0.999969
-149.1	0.999982
-149.095	0.999999
-149.09	1.00001
-149.085	1.00003
-149.08	1.00004
-149.075	1.00006
-149.07	1.00007
-149.065	1.00007
-149.06	1.00007
-149.055	1.00007
-149.05	1.00006
-149.045	1.00005
-149.04	1.00005
-149.035	1.00004
-149.03	1.00003
-149.025	1.00002
-149.02	1.00002
-149.015	1.00002
-149.01	1.00002
-149.005	1.00002
-149	1.00003
-148.995	1.00003
-148.99	1.00003
-148.985	1.00003
-148.98	1.00003
-148.975	1.00003
-148.97	1.00003
-148.965	1.00002
-148.96	1.00002
-148.955	1.00001
-148.95	1.00001
-148.945	1
-148.94	1
-148.935	1.00001
-148.93	1.00001
-148.925	1.00001
-148.92	1
-148.915	1
-148.91	1
-148.905	0.999994
-148.9	0.999994
-148.895	0.999998
-148.89	1
-148.885	1.00001
-148.88	1.00001
-148.875	1.00002
-148.87	1.00002
-148.865	1.00002
-148.86	1.00002
-148.855	1.00002
-148.85	1.00001
-148.845	0.999999
-148.84	0.999984
-148.835	0.99997
-148.83	0.999958
-148.825	0.999949
-148.82	0.999944
-148.815	0.999948
-148.81	0.999951
-148.805	0.999958
-148.8	0.999968
-148.795	0.999979
-148.79	0.999992
-148.785	1
-148.78	1.00001
-148.775	1.00002
-148.77	1.00003
-148.765	1.00004
-148.76	1.00004
-148.755	1.00004
-148.75	1.00005
-148.745	1.00005
-148.74	1.00005
-148.735	1.00004
-148.73	1.00004
-148.725	1.00003
-148.72	1.00001
-148.715	0.999996
-148.71	0.99998
-148.705	0.999966
-148.7	0.999954
-148.695	0.999947
-148.69	0.999943
-148.685	0.999942
-148.68	0.999944
-148.675	0.999948
-148.67	0.999949
-148.665	0.999949
-148.66	0.999954
-148.655	0.999961
-148.65	0.999964
-148.645	0.999965
-148.64	0.999967
-148.635	0.999968
-148.63	0.999971
-148.625	0.999973
-148.62	0.999982
-148.615	0.999991
-148.61	1
-148.605	1.00001
-148.6	1
-148.595	1.00001
-148.59	1.00001
-148.585	1.00001
-148.58	1.00002
-148.575	1.00003
-148.57	1.00003
-148.565	1.00004
-148.56	1.00004
-148.555	1.00003
-148.55	1.00003
-148.545	1.00002
-148.54	1.00001
-148.535	1
-148.53	0.999995
-148.525	0.999986
-148.52	0.999982
-148.515	0.999978
-148.51	0.999971
-148.505	0.999965
-148.5	0.999969
-148.495	0.999977
-148.49	0.999983
-148.485	0.999986
-148.48	0.999988
-148.475	0.999994
-148.47	1
-148.465	1
-148.46	1
-148.455	1.00001
-148.45	1.00002
-148.445	1.00003
-148.44	1.00003
-148.435	1.00002
-148.43	1.00002
-148.425	1.00002
-148.42	1.00002
-148.415	1.00002
-148.41	1.00002
-148.405	1.00002
-148.4	1.00001
-148.395	1.00002
-148.39	1.00002
-148.385	1.00002
-148.38	1.00002
-148.375	1.00001
-148.37	1.00001
-148.365	1.00001
-148.36	1.00001
-148.355	1
-148.35	0.999998
-148.345	0.99999
-148.34	0.999984
-148.335	0.999979
-148.33	0.999971
-148.325	0.999968
-148.32	0.999963
-148.315	0.999961
-148.31	0.999958
-148.305	0.999945
-148.3	0.999938
-148.295	0.999937
-148.29	0.999942
-148.285	0.999955
-148.28	0.999974
-148.275	0.999995
-148.27	1.00001
-148.265	1.00003
-148.26	1.00004
-148.255	1.00005
-148.25	1.00006
-148.245	1.00005
-148.24	1.00004
-148.235	1.00003
-148.23	1.00001
-148.225	0.999997
-148.22	0.999987
-148.215	0.999972
-148.21	0.999962
-148.205	0.999958
-148.2	0.999963
-148.195	0.999973
-148.19	0.999983
-148.185	0.999992
-148.18	1.00001
-148.175	1.00002
-148.17	1.00003
-148.165	1.00004
-148.16	1.00005
-148.155	1.00006
-148.15	1.00007
-148.145	1.00007
-148.14	1.00007
-148.135	1.00006
-148.13	1.00005
-148.125	1.00004
-148.12	1.00004
-148.115	1.00004
-148.11	1.00004
-148.105	1.00004
-148.1	1.00004
-148.095	1.00003
-148.09	1.00003
-148.085	1.00003
-148.08	1.00003
-148.075	1.00003
-148.07	1.00004
-148.065	1.00004
-148.06	1.00004
-148.055	1.00004
-148.05	1.00003
-148.045	1.00001
-148.04	0.999995
-148.035	0.999973
-148.03	0.999952
-148.025	0.999934
-148.02	0.999923
-148.015	0.999917
-148.01	0.999918
-148.005	0.999919
-148	0.999925
-147.995	0.999933
-147.99	0.999945
-147.985	0.999956
-147.98	0.999967
-147.975	0.999976
-147.97	0.99999
-147.965	1.00001
-147.96	1.00002
-147.955	1.00004
-147.95	1.00005
-147.945	1.00006
-147.94	1.00007
-147.935	1.00007
-147.93	1.00008
-147.925	1.00008
-147.92	1.00008
-147.915	1.00007
-147.91	1.00006
-147.905	1.00005
-147.9	1.00004
-147.895	1.00001
-147.89	0.999987
-147.885	0.999961
-147.88	0.999945
-147.875	0.999934
-147.87	0.999932
-147.865	0.999932
-147.86	0.999933
-147.855	0.999939
-147.85	0.999953
-147.845	0.999962
-147.84	0.999968
-147.835	0.999975
-147.83	0.999981
-147.825	0.999986
-147.82	0.999995
-147.815	1.00001
-147.81	1.00001
-147.805	1.00002
-147.8	1.00004
-147.795	1.00004
-147.79	1.00004
-147.785	1.00003
-147.78	1.00002
-147.775	1.00002
-147.77	1.00001
-147.765	1.00001
-147.76	1
-147.755	0.999993
-147.75	0.999985
-147.745	0.999979
-147.74	0.99998
-147.735	0.999981
-147.73	0.999981
-147.725	0.999981
-147.72	0.999983
-147.715	0.999988
-147.71	0.999986
-147.705	0.999984
-147.7	0.999979
-147.695	0.999972
-147.69	0.999966
-147.685	0.999961
-147.68	0.999958
-147.675	0.999963
-147.67	0.999972
-147.665	0.99998
-147.66	0.999986
-147.655	0.999994
-147.65	0.999998
-147.645	1
-147.64	1
-147.635	1
-147.63	1
-147.625	0.999999
-147.62	0.999997
-147.615	0.999997
-147.61	0.999994
-147.605	0.999996
-147.6	1
-147.595	1.00001
-147.59	1.00001
-147.585	1.00001
-147.58	1.00001
-147.575	1.00001
-147.57	1.00002
-147.565	1.00002
-147.56	1.00002
-147.555	1.00002
-147.55	1.00002
-147.545	1.00001
-147.54	1.00001
-147.535	1.00001
-147.53	1.00001
-147.525	1
-147.52	0.999991
-147.515	0.999981
-147.51	0.999972
-147.505	0.999956
-147.5	0.999936
-147.495	0.999923
-147.49	0.999913
-147.485	0.999908
-147.48	0.999911
-147.475	0.999923
-147.47	0.999938
-147.465	0.999956
-147.46	0.999976
-147.455	1
-147.45	1.00002
-147.445	1.00004
-147.44	1.00005
-147.435	1.00005
-147.43	1.00005
-147.425	1.00004
-147.42	1.00003
-147.415	1.00002
-147.41	1.00002
-147.405	1.00001
-147.4	0.999997
-147.395	0.999993
-147.39	0.999991
-147.385	0.999995
-147.38	0.999995
-147.375	0.999998
-147.37	1
-147.365	1.00001
-147.36	1.00002
-147.355	1.00003
-147.35	1.00005
-147.345	1.00007
-147.34	1.00008
-147.335	1.00009
-147.33	1.00009
-147.325	1.00008
-147.32	1.00008
-147.315	1.00007
-147.31	1.00008
-147.305	1.00008
-147.3	1.00008
-147.295	1.00008
-147.29	1.00007
-147.285	1.00005
-147.28	1.00004
-147.275	1.00003
-147.27	1.00002
-147.265	1.00001
-147.26	0.999993
-147.255	0.999988
-147.25	0.999984
-147.245	0.999982
-147.24	0.999981
-147.235	0.999977
-147.23	0.999973
-147.225	0.999971
-147.22	0.999962
-147.215	0.999956
-147.21	0.999946
-147.205	0.999938
-147.2	0.999934
-147.195	0.999931
-147.19	0.999934
-147.185	0.999938
-147.18	0.999941
-147.175	0.999952
-147.17	0.999965
-147.165	0.999975
-147.16	0.999981
-147.155	0.999988
-147.15	0.999999
-147.145	1.00001
-147.14	1.00003
-147.135	1.00005
-147.13	1.00006
-147.125	1.00007
-147.12	1.00008
-147.115	1.00008
-147.11	1.00008
-147.105	1.00008
-147.1	1.00007
-147.095	1.00006
-147.09	1.00005
-147.085	1.00004
-147.08	1.00003
-147.075	1.00001
-147.07	0.999988
-147.065	0.999975
-147.06	0.999967
-147.055	0.99996
-147.05	0.999957
-147.045	0.999958
-147.04	0.999956
-147.035	0.999948
-147.03	0.999943
-147.025	0.999946
-147.02	0.999949
-147.015	0.999955
-147.01	0.999967
-147.005	0.999983
-147	0.999999
-146.995	1.00001
-146.99	1.00001
-146.985	1.00001
-146.98	1.00002
-146.975	1.00002
-146.97	1.00002
-146.965	1.00002
-146.96	1.00003
-146.955	1.00004
-146.95	1.00005
-146.945	1.00005
-146.94	1.00004
-146.935	1.00003
-146.93	1.00002
-146.925	1.00002
-146.92	1.00002
-146.915	1.00002
-146.91	1.00002
-146.905	1.00002
-146.9	1.00002
-146.895	1.00002
-146.89	1.00002
-146.885	1.00002
-146.88	1.00001
-146.875	1.00001
-146.87	1.00001
-146.865	1.00001
-146.86	0.999996
-146.855	0.99999
-146.85	0.999987
-146.845	0.999984
-146.84	0.999979
-146.835	0.999968
-146.83	0.999959
-146.825	0.999956
-146.82	0.999957
-146.815	0.999956
-146.81	0.999951
-146.805	0.999944
-146.8	0.999947
-146.795	0.999953
-146.79	0.999952
-146.785	0.999952
-146.78	0.999956
-146.775	0.999964
-146.77	0.999981
-146.765	0.999996
-146.76	1.00001
-146.755	1.00002
-146.75	1.00003
-146.745	1.00003
-146.74	1.00003
-146.735	1.00004
-146.73	1.00004
-146.725	1.00005
-146.72	1.00005
-146.715	1.00005
-146.71	1.00004
-146.705	1.00003
-146.7	1.00002
-146.695	1
-146.69	0.999981
-146.685	0.999958
-146.68	0.999938
-146.675	0.99992
-146.67	0.999907
-146.665	0.999898
-146.66	0.999897
-146.655	0.999901
-146.65	0.999914
-146.645	0.99993
-146.64	0.999948
-146.635	0.999964
-146.63	0.999979
-146.625	0.999994
-146.62	1.00001
-146.615	1.00002
-146.61	1.00003
-146.605	1.00003
-146.6	1.00003
-146.595	1.00002
-146.59	1.00002
-146.585	1.00003
-146.58	1.00003
-146.575	1.00003
-146.57	1.00004
-146.565	1.00004
-146.56	1.00004
-146.555	1.00003
-146.55	1.00003
-146.545	1.00002
-146.54	1.00001
-146.535	1.00001
-146.53	1.00001
-146.525	1.00001
-146.52	1.00001
-146.515	1.00001
-146.51	1.00001
-146.505	1.00002
-146.5	1.00003
-146.495	1.00003
-146.49	1.00002
-146.485	1.00002
-146.48	1.00002
-146.475	1.00001
-146.47	1
-146.465	0.999998
-146.46	0.999986
-146.455	0.999976
-146.45	0.99997
-146.445	0.999964
-146.44	0.999962
-146.435	0.99996
-146.43	0.999964
-146.425	0.999977
-146.42	0.999993
-146.415	1
-146.41	1.00001
-146.405	1.00001
-146.4	1.00001
-146.395	1
-146.39	0.999988
-146.385	0.999977
-146.38	0.999964
-146.375	0.999949
-146.37	0.999935
-146.365	0.99993
-146.36	0.999935
-146.355	0.999945
-146.35	0.999955
-146.345	0.999968
-146.34	0.999981
-146.335	1
-146.33	1.00002
-146.325	1.00004
-146.32	1.00006
-146.315	1.00007
-146.31	1.00007
-146.305	1.00006
-146.3	1.00005
-146.295	1.00004
-146.29	1.00003
-146.285	1.00003
-146.28	1.00003
-146.275	1.00004
-146.27	1.00003
-146.265	1.00003
-146.26	1.00003
-146.255	1.00004
-146.25	1.00004
-146.245	1.00003
-146.24	1.00002
-146.235	1.00002
-146.23	1.00001
-146.225	0.999994
-146.22	0.99998
-146.215	0.999968
-146.21	0.999956
-146.205	0.999947
-146.2	0.999942
-146.195	0.999945
-146.19	0.999944
-146.185	0.999937
-146.18	0.999939
-146.175	0.999946
-146.17	0.999948
-146.165	0.999949
-146.16	0.999957
-146.155	0.999968
-146.15	0.999977
-146.145	0.999992
-146.14	1.00001
-146.135	1.00002
-146.13	1.00002
-146.125	1.00002
-146.12	1.00002
-146.115	1.00003
-146.11	1.00004
-146.105	1.00004
-146.1	1.00004
-146.095	1.00004
-146.09	1.00004
-146.085	1.00003
-146.08	1.00003
-146.075	1.00003
-146.07	1.00004
-146.065	1.00005
-146.06	1.00005
-146.055	1.00006
-146.05	1.00006
