# Delay[ns]	Correlation 	
-150	1.00776
-149.995	1.00712
-149.99	1.00561
-149.985	1.00435
-149.98	1.00303
-149.975	1.00238
-149.97	1.00603
-149.965	1.01093
-149.96	1.01484
-149.955	1.016
-149.95	1.01443
-149.945	1.01218
-149.94	1.00818
-149.935	1.00389
-149.93	1.00366
-149.925	1.00371
-149.92	1.00555
-149.915	1.00986
-149.91	1.01485
-149.905	1.01886
-149.9	1.02033
-149.895	1.02166
-149.89	1.02489
-149.885	1.02707
-149.88	1.02732
-149.875	1.02748
-149.87	1.02892
-149.865	1.03173
-149.86	1.03544
-149.855	1.03783
-149.85	1.03728
-149.845	1.03531
-149.84	1.03294
-149.835	1.03152
-149.83	1.0292
-149.825	1.02823
-149.82	1.0268
-149.815	1.02423
-149.81	1.02192
-149.805	1.01876
-149.8	1.01577
-149.795	1.0137
-149.79	1.01232
-149.785	1.01039
-149.78	1.00742
-149.775	1.0039
-149.77	1.0023
-149.765	1.00157
-149.76	0.998526
-149.755	0.996286
-149.75	0.995967
-149.745	0.995561
-149.74	0.99554
-149.735	0.995829
-149.73	0.996169
-149.725	0.9965
-149.72	0.996961
-149.715	0.996268
-149.71	0.997001
-149.705	0.995551
-149.7	0.993926
-149.695	0.993217
-149.69	0.993973
-149.685	0.992036
-149.68	0.990706
-149.675	0.989259
-149.67	0.988234
-149.665	0.98824
-149.66	0.988018
-149.655	0.989235
-149.65	0.990232
-149.645	0.993911
-149.64	0.996263
-149.635	0.995549
-149.63	0.992031
-149.625	0.98946
-149.62	0.987837
-149.615	0.986964
-149.61	0.987961
-149.605	0.987844
-149.6	0.988661
-149.595	0.988556
-149.59	0.987604
-149.585	0.986656
-149.58	0.985861
-149.575	0.984884
-149.57	0.986177
-149.565	0.987355
-149.56	0.988206
-149.555	0.989236
-149.55	0.991324
-149.545	0.995835
-149.54	0.999647
-149.535	1.00392
-149.53	1.00791
-149.525	1.01031
-149.52	1.01215
-149.515	1.01116
-149.51	1.00877
-149.505	1.00611
-149.5	1.0052
-149.495	1.00436
-149.49	1.00331
-149.485	1.00221
-149.48	1.00244
-149.475	1.00243
-149.47	1.00248
-149.465	1.00229
-149.46	1.00383
-149.455	1.00403
-149.45	1.00483
-149.445	1.00462
-149.44	1.00365
-149.435	1.00532
-149.43	1.00684
-149.425	1.0094
-149.42	1.0117
-149.415	1.01343
-149.41	1.01442
-149.405	1.01424
-149.4	1.01359
-149.395	1.01184
-149.39	1.01113
-149.385	1.01021
-149.38	1.00959
-149.375	1.00778
-149.37	1.00479
-149.365	1.00203
-149.36	1.00033
-149.355	0.998433
-149.35	0.996473
-149.345	0.997202
-149.34	0.997641
-149.335	0.998688
-149.33	0.998481
-149.325	0.999658
-149.32	1.00409
-149.315	1.00815
-149.31	1.01197
-149.305	1.01509
-149.3	1.01496
-149.295	1.01587
-149.29	1.01718
-149.285	1.01957
-149.28	1.02168
