# Delay[ns]	Correlation 	
-150	1.00021
-149.995	1.00012
-149.99	1.00009
-149.985	0.999949
-149.98	0.999924
-149.975	1.00003
-149.97	1.00001
-149.965	1
-149.96	1.00014
-149.955	1.00036
-149.95	1.00066
-149.945	1.00096
-149.94	1.00121
-149.935	1.00143
-149.93	1.0014
-149.925	1.00125
-149.92	1.00112
-149.915	1.00075
-149.91	1.00027
-149.905	0.99978
-149.9	0.999315
-149.895	0.998945
-149.89	0.998692
-149.885	0.998771
-149.88	0.99871
-149.875	0.998734
-149.87	0.99885
-149.865	0.998837
-149.86	0.998914
-149.855	0.999087
-149.85	0.999343
-149.845	0.999399
-149.84	0.999643
-149.835	1.00017
-149.83	1.00064
-149.825	1.00104
-149.82	1.00171
-149.815	1.00225
-149.81	1.00253
-149.805	1.00264
-149.8	1.00251
-149.795	1.00256
-149.79	1.00263
-149.785	1.00245
-149.78	1.00199
-149.775	1.00146
-149.77	1.00116
-149.765	1.00119
-149.76	1.00149
-149.755	1.00182
-149.75	1.00233
-149.745	1.0025
-149.74	1.00264
-149.735	1.00298
-149.73	1.00338
-149.725	1.0039
-149.72	1.0042
-149.715	1.00424
-149.71	1.00486
-149.705	1.00551
-149.7	1.00591
-149.695	1.00633
-149.69	1.0062
-149.685	1.00592
-149.68	1.00545
-149.675	1.00508
-149.67	1.00445
-149.665	1.00373
-149.66	1.00332
-149.655	1.003
-149.65	1.00271
-149.645	1.00208
-149.64	1.00181
-149.635	1.00168
-149.63	1.0016
-149.625	1.00161
-149.62	1.00157
-149.615	1.00129
-149.61	1.00101
-149.605	1.00071
-149.6	1.00012
-149.595	0.999701
-149.59	0.999088
-149.585	0.99852
-149.58	0.998086
-149.575	0.997953
-149.57	0.998132
-149.565	0.998421
-149.56	0.998682
-149.555	0.998801
-149.55	0.999037
-149.545	0.99957
-149.54	0.999831
-149.535	1.00001
-149.53	0.999756
-149.525	0.999977
-149.52	1.00014
-149.515	0.999976
-149.51	0.999908
-149.505	0.999775
-149.5	0.999313
-149.495	0.998945
-149.49	0.998619
-149.485	0.998455
-149.48	0.998564
-149.475	0.998402
-149.47	0.998564
-149.465	0.998608
-149.46	0.998642
-149.455	0.998499
-149.45	0.998263
-149.445	0.998018
-149.44	0.997731
-149.435	0.997742
-149.43	0.99791
-149.425	0.99786
-149.42	0.997711
-149.415	0.997603
-149.41	0.997779
-149.405	0.998036
-149.4	0.998169
-149.395	0.998337
-149.39	0.998604
-149.385	0.999251
-149.38	0.999726
-149.375	1.00007
-149.37	1.00026
-149.365	1.00096
-149.36	1.00183
-149.355	1.00274
-149.35	1.003
-149.345	1.00293
-149.34	1.00297
-149.335	1.00283
-149.33	1.00256
-149.325	1.0026
-149.32	1.00271
-149.315	1.00299
-149.31	1.00368
-149.305	1.00391
-149.3	1.00375
-149.295	1.00376
-149.29	1.00377
-149.285	1.0036
-149.28	1.00333
-149.275	1.00334
-149.27	1.00364
-149.265	1.00412
-149.26	1.00433
-149.255	1.00434
-149.25	1.00414
-149.245	1.0039
-149.24	1.00374
-149.235	1.00338
-149.23	1.00281
-149.225	1.00254
-149.22	1.00218
-149.215	1.00167
-149.21	1.00145
-149.205	1.00126
-149.2	1.00111
-149.195	1.00092
-149.19	1.00085
-149.185	1.0009
-149.18	1.00119
-149.175	1.00133
-149.17	1.00149
-149.165	1.00135
-149.16	1.00116
-149.155	1.00088
-149.15	1.00059
-149.145	1.00026
-149.14	1.00021
-149.135	1.00053
-149.13	1.00053
-149.125	1.00047
-149.12	1.00027
-149.115	1.00019
-149.11	1.00039
-149.105	1.00043
-149.1	1.00065
-149.095	1.00073
-149.09	1.00081
-149.085	1.00104
-149.08	1.0013
-149.075	1.00123
-149.07	1.00153
-149.065	1.00175
-149.06	1.00158
-149.055	1.0014
-149.05	1.00129
-149.045	1.00129
-149.04	1.00134
-149.035	1.00168
-149.03	1.002
-149.025	1.00278
-149.02	1.00337
-149.015	1.00387
-149.01	1.00439
-149.005	1.00489
-149	1.00505
-148.995	1.00512
-148.99	1.00524
-148.985	1.00538
-148.98	1.0053
-148.975	1.00523
-148.97	1.00483
-148.965	1.00447
-148.96	1.00404
-148.955	1.00352
-148.95	1.00313
-148.945	1.00311
-148.94	1.00314
-148.935	1.0034
-148.93	1.00345
-148.925	1.00322
-148.92	1.00289
-148.915	1.00252
-148.91	1.00201
-148.905	1.00208
-148.9	1.00229
-148.895	1.00241
-148.89	1.00235
-148.885	1.00216
-148.88	1.00234
-148.875	1.00263
-148.87	1.00287
-148.865	1.00292
-148.86	1.00267
-148.855	1.00217
-148.85	1.00177
-148.845	1.00148
-148.84	1.00116
-148.835	1.00068
-148.83	1.00016
-148.825	0.999807
-148.82	0.999446
-148.815	0.99929
-148.81	0.999205
-148.805	0.998965
-148.8	0.99866
-148.795	0.998647
-148.79	0.998798
-148.785	0.999055
-148.78	0.999123
-148.775	0.998773
-148.77	0.998182
-148.765	0.9976
-148.76	0.997325
-148.755	0.997151
-148.75	0.996859
-148.745	0.996692
-148.74	0.996623
