# Frequency [GHz] 	Fouriercomponent
-4.99967	 0.00113719
-4.99633	 0.00114418
-4.993	 0.00137225
-4.98967	 0.0011182
-4.98633	 0.00135388
-4.983	 0.00123792
-4.97967	 0.00140973
-4.97633	 0.00140302
-4.973	 0.00122726
-4.96967	 0.00148681
-4.96634	 0.00142523
-4.963	 0.00134701
-4.95967	 0.00118746
-4.95634	 0.00143235
-4.953	 0.00129959
-4.94967	 0.00142897
-4.94634	 0.00138059
-4.943	 0.00151983
-4.93967	 0.00122226
-4.93634	 0.00163215
-4.933	 0.00193665
-4.92967	 0.00168934
-4.92634	 0.00156836
-4.92301	 0.00129119
-4.91967	 0.0016767
-4.91634	 0.00192954
-4.91301	 0.00159619
-4.90967	 0.00153478
-4.90634	 0.00132563
-4.90301	 0.00186687
-4.89967	 0.00127556
-4.89634	 0.00202586
-4.89301	 0.00128
-4.88967	 0.00196436
-4.88634	 0.00166738
-4.88301	 0.0016755
-4.87967	 0.00189652
-4.87634	 0.00207661
-4.87301	 0.00194074
-4.86968	 0.00122376
-4.86634	 0.00208157
-4.86301	 0.00185081
-4.85968	 0.00176574
-4.85634	 0.00170492
-4.85301	 0.00146343
-4.84968	 0.00213483
-4.84634	 0.00197312
-4.84301	 0.00170592
-4.83968	 0.00157868
-4.83634	 0.00199143
-4.83301	 0.00168677
-4.82968	 0.00184137
-4.82634	 0.00201046
-4.82301	 0.00169466
-4.81968	 0.00168988
-4.81635	 0.00203958
-4.81301	 0.00174935
-4.80968	 0.00192923
-4.80635	 0.0016811
-4.80301	 0.00142494
-4.79968	 0.00165623
-4.79635	 0.00184476
-4.79301	 0.0013896
-4.78968	 0.0012327
-4.78635	 0.00148709
-4.78301	 0.00168656
-4.77968	 0.00169898
-4.77635	 0.00145638
-4.77302	 0.00106167
-4.76968	 0.00168063
-4.76635	 0.00119015
-4.76302	 0.00163117
-4.75968	 0.00187523
-4.75635	 0.0016521
-4.75302	 0.00183874
-4.74968	 0.00182893
-4.74635	 0.00155636
-4.74302	 0.00111982
-4.73968	 0.00131029
-4.73635	 0.00173066
-4.73302	 0.00115306
-4.72968	 0.00155785
-4.72635	 0.00157644
-4.72302	 0.000887682
-4.71969	 0.00105747
-4.71635	 0.00129631
-4.71302	 0.00148575
-4.70969	 0.00112684
-4.70635	 0.00123741
-4.70302	 0.00115869
-4.69969	 0.00130468
-4.69635	 0.00109812
-4.69302	 0.00159172
-4.68969	 0.000900004
-4.68635	 0.00108705
-4.68302	 0.00117048
-4.67969	 0.00113648
-4.67635	 0.00114772
-4.67302	 0.00116144
-4.66969	 0.00100469
-4.66636	 0.00116999
-4.66302	 0.00116088
-4.65969	 0.00100059
-4.65636	 0.000986454
-4.65302	 0.00122696
-4.64969	 0.0014781
-4.64636	 0.000874403
-4.64302	 0.00104332
-4.63969	 0.00101845
-4.63636	 0.000793279
-4.63302	 0.00073393
-4.62969	 0.000803385
-4.62636	 0.000867834
-4.62303	 0.00108714
-4.61969	 0.000854907
-4.61636	 0.000799652
-4.61303	 0.000827807
-4.60969	 0.000743747
-4.60636	 0.00101889
-4.60303	 0.00100184
-4.59969	 0.000906198
-4.59636	 0.000667302
-4.59303	 0.000699534
-4.58969	 0.000974666
-4.58636	 0.000995931
-4.58303	 0.000746266
-4.57969	 0.00100643
-4.57636	 0.000873277
-4.57303	 0.000865745
-4.5697	 0.000861095
-4.56636	 0.00064988
-4.56303	 0.000794242
-4.5597	 0.000758489
-4.55636	 0.000879384
-4.55303	 0.00077226
-4.5497	 0.000814651
-4.54636	 0.000669317
-4.54303	 0.000935545
-4.5397	 0.000887563
-4.53636	 0.000718286
-4.53303	 0.000865719
-4.5297	 0.000684752
-4.52636	 0.000691761
-4.52303	 0.000698672
-4.5197	 0.000742445
-4.51637	 0.000683212
-4.51303	 0.000642267
-4.5097	 0.000878731
-4.50637	 0.000778883
-4.50303	 0.000809008
-4.4997	 0.000708266
-4.49637	 0.00083164
-4.49303	 0.000685557
-4.4897	 0.000792851
-4.48637	 0.000592863
-4.48303	 0.000471852
-4.4797	 0.000971098
-4.47637	 0.000649779
-4.47304	 0.000510725
-4.4697	 0.000744848
-4.46637	 0.000640562
-4.46304	 0.000618779
-4.4597	 0.000631824
-4.45637	 0.000711513
-4.45304	 0.000753003
-4.4497	 0.000767849
-4.44637	 0.000587364
-4.44304	 0.000560286
-4.4397	 0.000692024
-4.43637	 0.00057583
-4.43304	 0.000669782
-4.4297	 0.000622884
-4.42637	 0.000601723
-4.42304	 0.000477663
-4.41971	 0.000801062
-4.41637	 0.000691467
-4.41304	 0.000822318
-4.40971	 0.000670229
-4.40637	 0.000655915
-4.40304	 0.000636983
-4.39971	 0.000603625
-4.39637	 0.000637144
-4.39304	 0.000606583
-4.38971	 0.000590749
-4.38637	 0.000540715
-4.38304	 0.000640098
-4.37971	 0.000543369
-4.37637	 0.000581484
-4.37304	 0.000583243
-4.36971	 0.00084442
-4.36638	 0.00073794
-4.36304	 0.00049807
-4.35971	 0.000782734
-4.35638	 0.000621031
-4.35304	 0.000527043
-4.34971	 0.000633306
-4.34638	 0.000643268
-4.34304	 0.000603708
-4.33971	 0.000539626
-4.33638	 0.000674874
-4.33304	 0.000763778
-4.32971	 0.00057367
-4.32638	 0.000662467
-4.32305	 0.000433883
-4.31971	 0.000746297
-4.31638	 0.000535345
-4.31305	 0.000633919
-4.30971	 0.000657137
-4.30638	 0.000658018
-4.30305	 0.00050969
-4.29971	 0.000508343
-4.29638	 0.000588865
-4.29305	 0.000569006
-4.28971	 0.000568378
-4.28638	 0.000579054
-4.28305	 0.000659014
-4.27971	 0.000549602
-4.27638	 0.000526368
-4.27305	 0.000648068
-4.26972	 0.000669053
-4.26638	 0.000633951
-4.26305	 0.000626509
-4.25972	 0.000628195
-4.25638	 0.000585576
-4.25305	 0.000642242
-4.24972	 0.000648302
-4.24638	 0.00064769
-4.24305	 0.000530248
-4.23972	 0.000564916
-4.23638	 0.000597117
-4.23305	 0.000536392
-4.22972	 0.000565481
-4.22638	 0.000578723
-4.22305	 0.000443622
-4.21972	 0.000589622
-4.21639	 0.000686942
-4.21305	 0.000491023
-4.20972	 0.000675449
-4.20639	 0.000497911
-4.20305	 0.000624056
-4.19972	 0.000629287
-4.19639	 0.000646076
-4.19305	 0.000595937
-4.18972	 0.000634849
-4.18639	 0.000665546
-4.18305	 0.00073018
-4.17972	 0.000530213
-4.17639	 0.000634458
-4.17306	 0.00076321
-4.16972	 0.000661861
